university,academic_year,academic_year_label,department_code,course_number,title,description,broad_area,level,progressive_signal,western_canon_signal,climate_narrow_signal,climate_broad_signal,cross_listed,deduplicated
uidaho,2026,2026-2027,ACCT,2000,Seminar,Credit arranged,Professional,graduate,False,False,False,False,False,True
uidaho,2026,2026-2027,ACCT,2010,Introduction to Financial Accounting,Overview of the nature and purpose of general purpose financial statements provided to external decision makers; emphasis on use of financial statement information. May involve evening exams. Typically Offered: Varies.,Professional,graduate,False,False,False,False,False,True
uidaho,2026,2026-2027,ACCT,2020,Introduction to Managerial Accounting,"Intro to cost behavior and managerial use of accounting information for planning, control, and performance evaluation. May involve evening exams. Typically Offered: Varies.",Professional,graduate,False,False,False,False,False,True
uidaho,2026,2026-2027,ACCT,2030,Workshop,Credit arranged,Professional,graduate,False,False,False,False,False,True
uidaho,2026,2026-2027,ACCT,2040,Special Topics,Credit arranged,Professional,graduate,False,False,False,False,False,True
uidaho,2026,2026-2027,ACCT,2990,Directed Study,Credit arranged. Individual sections may be graded P/F.,Professional,graduate,False,False,False,False,False,True
uidaho,2026,2026-2027,ACCT,3050,Accounting Information Systems,Role of accounting information systems in effective control of organizations. Topics include: the description and analysis of the accounting cycles and internal controls including the implementation and evaluation of internal control effectiveness; the role of internal controls in the detection and prevention of fraud; the conceptual design and documentation as well as the practical use of accounting information systems. May include evening exams.,Professional,graduate,False,False,False,False,False,True
uidaho,2026,2026-2027,ACCT,3150,Intermediate Financial Accounting I,Preparation of general purpose financial statements for external users based on U. S. generally accepted accounting principles. Emphasis on transactions relating to financing and investing activities. Conceptual framework based instruction includes comparison with alternative treatments used in other countries and under U. S. tax code. May include evening exams.,Professional,graduate,False,False,False,False,False,True
uidaho,2026,2026-2027,ACCT,3250,Intermediate Financial Accounting II,Continuation of ACCT 3150 . Covers more advanced topics in the preparation of general purpose financial statements for external users according to US GAAP. Includes accounting database research. May include evening exams.,Professional,graduate,False,False,False,False,False,True
uidaho,2026,2026-2027,ACCT,3850,Cost and Management Accounting,"Design and use of cost management systems to support decision making and influence behavior; includes tracing costs to processes, activities, products, and customers; budgeting and responsibility accounting. May require evening exams. Typically Offered: Varies.",Professional,graduate,False,False,False,False,False,True
uidaho,2026,2026-2027,ACCT,4000,Seminar,Credit arranged,Professional,graduate,False,False,False,False,False,True
uidaho,2026,2026-2027,ACCT,4030,Workshop,Credit arranged,Professional,graduate,False,False,False,False,False,True
uidaho,2026,2026-2027,ACCT,4040,Special Topics,Credit arranged,Professional,graduate,False,False,False,False,False,True
uidaho,2026,2026-2027,ACCT,4050,Professional Development,Credit arranged. Credit earned in these courses will not be accepted toward graduate degree programs.,Professional,graduate,False,False,False,False,False,True
uidaho,2026,2026-2027,ACCT,4150,Advanced Financial Accounting & Reporting,"Accounting and financial reporting for business combinations (including consolidated financial statements), international accounting issues, foreign currency translation, and accounting for partnerships. The course emphasizes the conceptual understanding of accounting for mergers and acquisitions as well as the technical requirements. May include evening exams. Additional class meetings, projects, and/or assignments required for graduate credit.",Professional,graduate,False,False,False,False,False,True
uidaho,2026,2026-2027,ACCT,4210,Accounting Data Analytics,Role of accounting data analytics in the detection and assessment of fraud in an organizational setting. Topics include definitions and detection of fraud; the application of data analytic and statistical techniques to detect different types of frauds; and the use of data analytics techniques in the audit function. Additional work required for graduate credit. Typically Offered: Spring.,Professional,graduate,False,False,False,False,False,True
