university,academic_year,academic_year_label,department_code,course_number,title,description,broad_area,level,progressive_signal,western_canon_signal,climate_narrow_signal,climate_broad_signal,cross_listed,deduplicated
uiowa,2026,2026-2027,ABRD,3010,Iowa Regents in Wales: Swansea University,"Swansea University in Wales, UK; students take regular university coursework in humanities, social sciences, physical sciences, business, and engineering. Semester or academic year. Requirements: 3.00 minimum GPA, good academic and disciplinary standing, and sophomore or higher standing.",STEM,graduate,no,no,no,no,no,no
uiowa,2026,2026-2027,ABRD,3011,Iowa at Oxford,"Unique opportunity to spend an academic year fully matriculated at the University of Oxford; students enroll in a wide range of courses at Mansfield College, one of 38 colleges that make up the University of Oxford; as an Oxford student, participants take part in Oxford's personalized tutorial system, attend lectures, share accommodations with local students, and become fully immersed in the social and academic culture of one of the mostly highly regarded academic institutions in the world. Requirements: 3.70 GPA, sophomore standing, and good academic and disciplinary standing.",Other,graduate,no,no,no,no,no,no
uiowa,2026,2026-2027,ABRD,3012,Iowa Regents in Scotland: University of Edinburgh,"Advanced undergraduate study at the University of Edinburgh; humanities, social sciences, science, engineering. Fall and/or spring. Requirements: GPA of at least 3.00.",STEM,graduate,no,no,no,no,no,no
uiowa,2026,2026-2027,ABRD,3013,IES London: Study London,"Coursework in international economics, finance, management, creative and performing arts, literature, communications, cultural studies, and political science, as well as a huge variety of credit-bearing internship and service learning opportunities; option to enroll directly in a local British university; the IES Study London program provides a unique opportunity to engage in all aspects of contemporary British society; students combine coursework with study outside the classroom to explore the rich heritage of the United Kingdom, as well as its contemporary social, economic, and political culture. Requirements: 2.75 GPA and good academic and disciplinary standing.",Social Sciences,graduate,no,no,no,no,no,no
uiowa,2026,2026-2027,ABRD,3014,IES London Health Practice and Policy,"Focus on issues of international comparative health; based in London, United Kingdom, with final days spent in the Caribbean for comparative analysis of health policies; ideal for students focusing on preprofessional medical studies, public health, anthropology, pre-nursing, and sociology. Requirements: 3.00 GPA and good academic and disciplinary standing.",Social Sciences,graduate,no,no,no,no,no,no
uiowa,2026,2026-2027,ABRD,3016,"IES London, United Kingdom Today","Unique opportunity to engage in all aspects of contemporary British society; courses in international business, management, literature, communications, cultural studies, film studies, political science, and sociology; students combine coursework with study outside the classroom, and explore the rich heritage of the United Kingdom as well as its contemporary social, economic, and political culture. Requirements: 2.75 GPA and good academic and disciplinary standing.",Social Sciences,graduate,no,no,no,no,no,no
uiowa,2026,2026-2027,ABRD,3017,IES London: University College London,"Unique opportunity to directly enroll at the University College London, one of the top-ranking universities in the world; students live and study with their British peers in the heart of London while choosing from a huge variety of courses in biology, chemistry, engineering, economics, English, fine art, global health, history, management, and many other popular majors; students are fully immersed in British culture and truly learn what it's like to be a Londoner through engagement with locals and taking advantage of IES field trips around the country. Semester or academic year. Requirements: good academic and disciplinary standing, GPA of at least 3.30 (3.70 to enroll in economics courses, 3.50 to enroll in English or management courses); and junior or senior standing.",Social Sciences,graduate,no,no,no,no,no,no
uiowa,2026,2026-2027,ABRD,3018,"Creativity, Imagination, and Play in London","Students learn about art, culture, and human development through an exploration of London and nearby sites; use of rich museums, galleries, architecture, food, and community organizations of Britain to investigate how art and culture are produced through tours, making, visual journaling, and site-specific play; for preservice teachers, artists, and designers who want to incorporate global perspectives into their practices. Requirements: 3.00 GPA, and good academic and disciplinary standing. Recommendations: enrollment in teacher education, education studies and human relations, or art/design program.",Professional,graduate,no,no,no,no,no,no
uiowa,2026,2026-2027,ABRD,3020,London Performance Study,"Selected theater productions, lectures, performances, discussions, written exercises, workshops, cultural activities. Credit may be applied toward a University of Iowa major in English or theatre arts. Summer.",Humanities,graduate,no,no,no,no,no,no
uiowa,2026,2026-2027,ABRD,3025,International Business in London,Study of the international business environment in one of the world's financial capitals; may count toward undergraduate business major or Certificate in International Business. Winter. Prerequisites vary depending on classes being offered. Requirements: junior standing.,Professional,graduate,no,no,no,no,no,no
uiowa,2026,2026-2027,ABRD,3026,IES Internships London,"Real-world experience combined with professional skill building and cultural immersion; interning full time in student's chosen field. Eight weeks in summer. Requirements: 2.50 GPA, junior or higher standing, and good academic and disciplinary standing.",Other,graduate,no,no,no,no,no,no
uiowa,2026,2026-2027,ABRD,3028,Shakespeare's England,"Students go out into the streets, museums, theatres, and even forests of London to see the way the city inspired and continues to inspire some of the greatest writing in English; London is a center of modern film industry and a capital of international finance and technology, yet Shakespeare and Chaucer would still be able to recognize the shape of many of its winding streets; students get to know Shakespeare's England through readings, writings, and performances. Requirements: 2.75 GPA, and good academic and disciplinary standing.",Humanities,graduate,no,yes,no,no,no,no
uiowa,2026,2026-2027,ABRD,3030,Iowa Regents in Ireland: University College Cork,Regular coursework in all disciplines at University College Cork in Ireland. Fall and spring semesters. Requirements: sophomore standing and GPA of at least 3.00.,Other,graduate,no,no,no,no,no,no
uiowa,2026,2026-2027,ABRD,3031,IES Internships Dublin,Real-world experience combined with professional skill building and cultural immersion; interning full time in chosen field. Eight weeks in summer.,Other,graduate,no,no,no,no,no,no
uiowa,2026,2026-2027,ABRD,3034,STEM and Irish Studies in Dublin,"Science, technology, engineering, and mathematics (STEM) students from Big Ten schools study together in Dublin; courses include introductory physics II with lab, and a course on Irish history and culture. Requirements: major in a STEM field, 3.00 GPA, good academic and disciplinary standing, and completion of MATH:1550 , MATH:1560 , and 4 s.h. of PHYS:1611 .",Humanities,graduate,no,no,no,no,no,no
uiowa,2026,2026-2027,ABRD,3035,Irish Writing Program,"Dublin, Ireland; writing workshops directed by Irish writers, literature courses taught by faculty. Summer.",Humanities,graduate,no,no,no,no,no,no
uiowa,2026,2026-2027,ABRD,3036,"IES Dublin Irish Studies: History, Politics and Social Change","Offering coursework in economics, entrepreneurship, management, creative writing and literature, communications, cultural studies, and political science, as well as a huge variety of credit-bearing internship and service learning opportunities, the IES Dublin Irish Studies program addresses all aspects of contemporary Irish society; students combine coursework with study outside the classroom for the opportunity to discover the rich heritage of Ireland and its contemporary, social, economic, and political culture. Requirements: 2.75 GPA and good academic and disciplinary standing.",Social Sciences,graduate,no,no,no,no,no,no
