university,academic_year,academic_year_label,department_code,course_number,title,description,broad_area,level,progressive_signal,western_canon_signal,climate_narrow_signal,climate_broad_signal,cross_listed,deduplicated
uiuc,2020,2020-2021,ENGH,397,Honors Independent Study,Individual investigations of any phase of engineering selected by James Scholars in engineering and approved by the Engineering Academic Affairs Office. May be repeated. Prerequisite: Consent of instructor.,Other,undergraduate,False,False,False,False,False,True
uiuc,2020,2020-2021,EDPR,199,Undergraduate Open Seminar,Approved for S/U grading only. May be repeated.,Other,undergraduate,False,False,False,False,False,True
uiuc,2020,2020-2021,EDPR,250,School & Community Experiences,"Early field experiences in teacher education, including observation and laboratory experiences in public schools: designed to provide opportunities for career exploration, professional orientation, the development of insight into the interrelationship of theory and practice, and the place of the student in the educational process. Approved for S/U grading only. May be repeated. Prerequisite: Consent of instructor.",Other,undergraduate,False,False,False,False,False,True
uiuc,2020,2020-2021,EDPR,420,Ed Prac Students with Sp Needs,"Course in practice teaching which provides teaching experience with exceptional children. 2 to 12 undergraduate hours. 2 to 12 graduate hours. Approved for S/U grading only. May be repeated for 18 hours, 12 of which may be taken in the same term. Prerequisite: Satisfactory completion of all requirements of the Council on Teacher Education Undergraduate or Graduate Common Assessment Plan for Initial Certification (http://www.cote.uiuc.edu).",Other,undergraduate,False,False,False,False,False,True
uiuc,2020,2020-2021,EDPR,432,Ed Prac in EC & ELED,Course in practice teaching to meet licensure requirements for teaching in the elementary school. 2 to 12 undergraduate hours. 2 to 12 graduate hours. Approved for S/U grading only. Prerequisite: CI 420 or CI 406 as required by the student's curriculum; Satisfactory completion of all requirements of the Council on Teacher Education Undergraduate or Graduate Common Assessment Plan for Initial Certification (http://cote.illinois.edu/).,Other,undergraduate,False,False,False,False,False,True
uiuc,2020,2020-2021,EDPR,438,Educational Practice in Special Fields,"Course in student teaching to meet requirements for licensure in special fields. 2 to 12 undergraduate hours. 2 to 12 graduate hours. Approved for S/U grading only. Prerequisite: All professional education coursework, except those requiring concurrent enrollment with student teaching, must be completed prior to student teaching. Satisfactory completion of all requirements of the Council on Teacher Education Undergraduate or Graduate Common Assessment Plan for Initial Licensure (www.cote.illinois.edu).",Other,undergraduate,False,False,False,False,False,True
uiuc,2020,2020-2021,EDPR,442,Educational Practice in Secondary Education,"Course in practice teaching to meet licensure requirements for teaching in the secondary schools. 2 to 12 undergraduate hours. 2 to 12 graduate hours. Approved for S/U grading only. Prerequisite: All professional education coursework, except those requiring concurrent enrollment with student teaching, must be completed prior to student teaching. Satisfactory completion of all requirements of the Council on Teacher Education Undergraduate or Graduate Common Assessment Plan for Initial Licensure (www.cote.illinois.edu).",Other,undergraduate,False,False,False,False,False,True
uiuc,2020,2020-2021,EDPR,550,School and Community Experience,"Early field experiences in teacher education, including observation and laboratory experiences in schools: Designed to provide opportunities for career exploration, professional orientation, the development of insight into the relationships of theory and practice, and the place of the student in the educational process. 0 to 4 graduate hours. No professional credit. Approved for S/U grading only. May be repeated. Prerequisite: Must be admitted to an educator preparation program.",Other,graduate,False,False,False,False,False,True
uiuc,2020,2020-2021,ENT,599,Thesis Research,Work may be taken in the following subjects: insect genetics; insect behavior; applied entomology; systematic entomology; biology and ecology of insects; and insect physiology. Approved for S/U grading only. May be repeated.,Other,graduate,False,False,False,False,False,True
uiuc,2020,2020-2021,EIL,199,Undergraduate Open Seminar,May be repeated.,Other,undergraduate,False,False,False,False,False,True
uiuc,2020,2020-2021,EIL,214,TESL in the Elementary School,"On-site practical experience in an elementary school, involving at least 100 hours of classroom observations, consultations, teaching, tutoring, and assisting, to acquaint students with the many facets of ESL/bilingual education in a public school setting. Hours to be arranged with the cooperating teacher. Satisfies one requirement for those who wish to obtain an Illinois ESL endorsement on an Illinois teaching certificate.",Other,undergraduate,False,False,False,False,False,True
uiuc,2020,2020-2021,EIL,215,TESL in the Secondary School,"On-site practical experience in a secondary school, involving at least 100 hours of classroom observations, consultations, teaching, tutoring, and assisting, to acquaint students with the many facets of ESL/bilingual education in a public school setting. Hours to be arranged with the cooperating teacher. Satisfies one requirement for those who wish to obtain an Illinois ESL endorsement on an Illinois teaching certificate.",Other,undergraduate,False,False,False,False,False,True
uiuc,2020,2020-2021,EIL,411,Intro to TESL Methodology,"Introduction to TESL/TEFL, including the concept of ""communicative competence"" and its components; teaching contexts; current research on teaching second language skills; syllabus, lesson, and materials design; and classroom techniques. 3 undergraduate hours. 4 graduate hours.",Other,undergraduate,False,False,False,False,False,True
