university,academic_year,academic_year_label,department_code,course_number,title,description,broad_area,level,progressive_signal,western_canon_signal,climate_narrow_signal,climate_broad_signal,cross_listed,deduplicated
umt,2026,2026-2027,ACTG,101,Accounting Procedures I,"Offered autumn and spring. Offered at Missoula College. Basic double-entry accounting.  Emphasis on analyzing, journalizing, and posting transactions; trial balance, worksheet, financial statements, and adjusting/closing procedures, accounting systems, and cash control.",Professional,undergraduate,False,False,False,False,False,True
umt,2026,2026-2027,ACTG,102,Accounting Procedures II,"Offered spring. Offered at Missoula College. Prereq., ACTG 101 . Expansion of ACTG 101 including receivables, inventories, plant and intangible assets, and expanded liabilities.  Includes partnerships, corporations, long-term liabilities, investments in debt and equity securities, and the statement of cash flows. Also includes an introduction to QuickBooks.",Professional,undergraduate,True,False,False,False,False,True
umt,2026,2026-2027,ACTG,130,Applied Accounting & Decision Making,"Offered autumn and spring at Missoula College. Prereq., ACTG 101 and BGEN 105S . This course is designed to introduce the QuickBooks software for both a service business and merchandising business. We will set up a chart of accounts, and process accounts receivable, accounts payable, inventory, and payroll. Preparation and analysis of financial statements will be emphasized. In addition, we will develop data driven decision making skills through the use of those financial reports. Course includes multiple case studies.",Professional,undergraduate,False,False,False,False,False,True
umt,2026,2026-2027,ACTG,180,Payroll Accounting,"Offered autumn and spring. Offered at Missoula College. Payroll Topics including Federal and Montana state payroll tax law. The course includes study of workers compensation, independent contractor determination and registration, preparation of payroll, payroll tax returns and deposits, and annual information payroll returns.  Students will also be exposed to federal law affecting payroll such as Fair Labor Standards Act, ADA, Family Medical Leave Act, Civil Rights Act, etc. and applicable Montana state laws.",Professional,undergraduate,False,False,False,False,False,True
umt,2026,2026-2027,ACTG,191,Special Topics,"(R-6) Experimental offerings of visiting professors, experimental offerings of new courses, or one-time offerings of current topics.",Professional,undergraduate,False,False,False,False,False,True
umt,2026,2026-2027,ACTG,192,Independent Study,(R-9) Course material appropriate to the needs and objectives of the individual student.,Professional,undergraduate,False,False,False,False,False,True
umt,2026,2026-2027,ACTG,201,Principles of Financial Accounting,"Offered every term. Prereq., or corequisite M 115 , M 121 , M 151 , M 162 , or M 171 . Introduction to financial accounting concepts, including transactions analysis, financial statement analysis, and corporate financial reporting practices.",Professional,undergraduate,False,False,False,False,False,True
umt,2026,2026-2027,ACTG,202,Principles of Managerial Accounting,"Offered every term. Prereq., ACTG 201 and M 115 , M 121 , M 151 or M 162 . Continuation of ACTG 201 with a focus on managerial accounting topics.",Professional,undergraduate,False,False,False,False,False,True
umt,2026,2026-2027,ACTG,211,Income Tax Fundamentals,"Offered autumn. Offered at Missoula College. Prereq., ACTG 180 with a C grade or better. This class is a comprehensive overview of individual income taxation.  It includes an introduction to taxation terminology, taxation principles and an overview of retirement plans/tax ramifications for small businesses/individuals.  Individual taxation is taught through preparation of a series of tax returns. Course emphasis is on individuals and sole proprietorships.",Professional,undergraduate,False,False,False,False,False,True
umt,2026,2026-2027,ACTG,215,Fundamentals of Government and Nonprofit Accounting,"Offered spring. Offered at Missoula College. Prereq., ACTG 101 and ACTG 102 . Principles of accounting for governmental units, health care organizations, colleges and universities, and other nonprofit organizations.",Professional,undergraduate,False,False,False,False,False,True
umt,2026,2026-2027,ACTG,250,Accounting Capstone,"Offered Spring. Offered at Missoula College. Prereq., ACTG 101 and 102 or ACTG 202 ; and ACTG 180 . A culmination to all course work done in accounting core; this is a preparation class for the accounting workplace. Course will utilize accounting software to apply learned technical skills. This course requires completion of a comprehensive practice set in financial accounting, ratio analysis and spreadsheet utilization. This course also serves to sharpen students’ writing, presenting and critical thinking skills.",Professional,undergraduate,False,False,False,False,False,True
umt,2026,2026-2027,ACTG,291,Special Topics,"(R-6) Offered intermittently. Experimental offerings of visiting professors, experimental offerings of new courses, or one-time offerings of current topics.",Professional,undergraduate,False,False,False,False,False,True
umt,2026,2026-2027,ACTG,292,Independent Study,(R-9) Course material appropriate to the needs and objectives of the individual student.,Professional,undergraduate,False,False,False,False,False,True
umt,2026,2026-2027,ACTG,298,Internship,"(R-3) Offered autumn and spring. Offered on Mountain Campus and at Missoula College. On-the-job training in positions related to the accounting field. This experience increases students' skills, prepares them for initial employment, and increases occupational awareness and professionalism. Students work a minimum of six hours each week at an approved site and attend scheduled one-hour seminars. Offered for CR/NCR grading only.",Professional,undergraduate,False,False,False,False,False,True
umt,2026,2026-2027,ACTG,305,Corporate Reporting I,"Offered autumn and spring. Prereq., ACTG 201 . Prereq. or coreq., ACTG 202 . Topics include concepts in generally accepted accounting principles for financial accounting and reporting, assets, revenue recognition, and related income statement accounts.",Professional,undergraduate,False,False,False,False,False,True
umt,2026,2026-2027,ACTG,306,Corporate Reporting II,"Offered fall and spring. Prereq., ACTG 305 . Continuation of ACTG 305 . Topics include concepts in financial accounting, coverage of the liability and equity side of the balance sheet, the cash flow statement, and several special financial accounting topics.",Professional,undergraduate,True,False,False,False,False,True
umt,2026,2026-2027,ACTG,307,Corporate Reporting III,"Offered intermittently. Prereq., or corequisite ACTG 306 . Application of accounting principles to complex issues such as post-retirement benefits, accounting changes, bankruptcies, reorganizations, income taxes and other topics.",Professional,undergraduate,False,False,False,False,False,True
umt,2026,2026-2027,ACTG,321,Accounting Information Systems I,"Offered autumn and spring. Prereq., ACTG 201 and BMIS 270 . Provides thorough understanding of  business processes, risks, and internal controls. Computer applications may be used to demonstrate concepts.",Professional,undergraduate,False,False,False,False,False,True
umt,2026,2026-2027,ACTG,391,Special Topics,"(R-9) Offered intermittently. Experimental offerings of visiting professors, experimental offerings of new courses, or one-time offerings of current topics.",Professional,undergraduate,False,False,False,False,False,True
umt,2026,2026-2027,ACTG,392,Independent Study,(R-6) Offered every term. Course material appropriate to the needs and objectives of the individual student.,Professional,undergraduate,False,False,False,False,False,True
umt,2026,2026-2027,ACTG,394,Undergraduate Seminar,(R-6) Offered intermittently. Selected topics in accounting.,Professional,undergraduate,False,False,False,False,False,True
umt,2026,2026-2027,ACTG,401,Federal Income Taxation,"Offered autumn. Prereq., or corequisite ACTG 306. The application of the federal income tax law to determine income, deductions and losses. Special topics include property transactions and an introduction to business entities. Level: Undergraduate and Graduate.",Professional,undergraduate,False,False,False,False,False,True
umt,2026,2026-2027,ACTG,410,Cost Management Accounting I,"Offered autumn. Prereq., ACTG 201 and ACTG 202 and one of STAT 216 , SOCI 202 , PSYX 222 , or FORS 201 . The study of cost management for business and other organizations. Emphasis on how information about costs helps managers make better decisions. Level: Undergraduate and Graduate.",Professional,undergraduate,False,False,False,False,False,True
umt,2026,2026-2027,ACTG,411,Auditing I,"Offered spring. Prereq., ACTG 321 . Prereq. or coreq., ACTG 306 . Introduction to auditing with emphasis on the independent audit of financial statements. Coverage includes U.S. audit and professional standards,including professional ethics, audit risk, evidence, internal controls, audit procedures, and opinions. Level: Undergraduate and Graduate.",Professional,undergraduate,False,False,False,False,False,True
umt,2026,2026-2027,ACTG,425,Governmental Accounting,"Offered spring. Prereq., or corequisite ACTG 306 . Reporting requirements and generally accepted accounting principles applicable to state, local, Federal, and other governmental units. Level: Undergraduate and Graduate.",Professional,undergraduate,False,False,False,False,False,True
umt,2026,2026-2027,ACTG,426,Accounting for Nonprofits,"Offered intermittently. Prereq., or corequisite ACTG 306 . Reporting requirements and generally accepted accounting principles applicable to nonprofit entities, including colleges and universities. Level: Undergraduate and Graduate.",Professional,undergraduate,False,False,False,False,False,True
umt,2026,2026-2027,ACTG,432,Income Tax Practicum,"Offered spring. Prereq., ACTG 201 , ACTG 202 , ACTG 401 , ECNS 201S , BGEN 222 , BMIS 270 , and one of STAT 216 , SOCI 202 , PSYX 222 , or FORS 201 . Service course that provides free tax preparation to low income taxpayers and students, in conjunction with the IRS. Students apply their knowledge of tax law to the preparation and e-filing of income tax returns under the direction of a practicing CPA. Designated as a service learning course. Graded credit/no credit only. Level: Undergraduate.",Professional,undergraduate,False,False,False,False,False,True
umt,2026,2026-2027,ACTG,491,Special Topics,"(R-9) Offered intermittently. Experimental offerings of visiting professors, experimental offerings of new courses, or one-time offerings of current topics. Level: Undergraduate and Graduate.",Professional,undergraduate,False,False,False,False,False,True
umt,2026,2026-2027,ACTG,492,Independent Study,(R-6) Offered every term. Course material appropriate to the needs and objectives of the individual student. Level: Undergraduate and Graduate.,Professional,undergraduate,False,False,False,False,False,True
umt,2026,2026-2027,ACTG,494,Seminar,(R-6) Offered intermittently. Topics Vary. Level: Undergraduate and Graduate.,Professional,undergraduate,False,False,False,False,False,True
umt,2026,2026-2027,ACTG,495,Accounting Practicum,"Offered intermittently. Prereq., ACTG 201 , ACTG 202 , ECNS 201S , BGEN 222 , BMIS 270 , and one of STAT 216 , SOCI 202 , PSYX 222 , or FORS 201 . Practical hands-on experience with area organizations. Provides application of classroom learning. Level: Undergraduate",Professional,undergraduate,False,False,False,False,False,True
umt,2026,2026-2027,ACTG,498,Internship,"Offered every term. Prereq., ACTG 201 , ACTG 202 , ECNS 201S , BGEN 222 , BMIS 270 , and one of STAT 216 , SOCI 202 , PSYX 222 , or FORS 201 . Students are placed with private or governmental organizations to receive on-the-job training. Written reports are required. A maximum of 3 credits of internship may count toward graduation. Level: Undergraduate.",Professional,undergraduate,False,False,False,False,False,True
umt,2026,2026-2027,ACTG,605,Administrative Controls,Offered autumn. Restricted to students in the Master of Business Administration program. The application of accounting information to managerial and financial decision making. Level: Graduate,Professional,graduate,False,False,False,False,False,True
umt,2026,2026-2027,ACTG,610,Accounting & Data Analytics,"Offered autumn. Prereq., ACTG 306 . An exploratory, high-level study of issues surrounding data and data analysis in accounting using large data sets to become an intelligent data consumer, data user, and information communicator as a professional accountant.",Professional,graduate,False,False,False,False,False,True
umt,2026,2026-2027,ACTG,615,Accounting Theory,Offered autumn or spring. Restricted to students in the Master of Accountancy program. A critical analysis of the concepts underlying the development and application of financial accounting in the United States. Coverage of current accounting standards as well as other current topics in financial accounting. Level: Graduate,Professional,graduate,False,False,False,False,False,True
umt,2026,2026-2027,ACTG,616,Advanced Financial Topics,Restricted to students in the Master of Accountancy program. Study of financial accounting topics requiring complex treatment. Level: Graduate,Professional,graduate,False,False,False,False,False,True
umt,2026,2026-2027,ACTG,631,Advanced Tax,"Offered autumn or spring. Prereq., ACTG 401 . Restricted to students in the Master of Accountancy program. The application of the federal income tax law to corporations and partnerships, and special problems associated with taxation of trusts, estates and gifts. Level: Graduate",Professional,graduate,False,False,False,False,False,True
