university,academic_year,academic_year_label,department_code,course_number,title,description,broad_area,level,progressive_signal,western_canon_signal,climate_narrow_signal,climate_broad_signal,cross_listed,deduplicated
uncg,2026,2026-2027,ARS,100,"Reclaim, Regain, and Recover",A self-guided online course to support students on academic probation in developing and applying constructive academic recovery behaviors and skills with the goal of restoring academic good standing at UNCG. Prerequisites: Permission of instructor. Notes: Grade: Pass/Not Pass (P/NP).,Other,undergraduate,False,False,False,False,False,True
uncg,2026,2026-2027,ARS,120,Academic Connections in Education,Students returning from academic suspension will create meaningful connections with UNCG faculty and staff; develop an understanding of university academic policy; identify academic and personal goals; and generate solutions for academic challenges. Prerequisites: Written permission required. Restricted to students returning to or continuing at UNCG after academic suspension; Notes: Grade: Pass/Not Pass (P/NP).,Other,undergraduate,False,False,False,False,False,True
uncg,2026,2026-2027,ARS,140,Academic Coaching in Transitions,"Students returning from academic dismissal will identify and apply personal strengths toward utilizing University policies and resources, building academic support networks, and developing an individualized plan for academic recovery. Prerequisites: Written permission required. Restricted to students returning to or continuing at UNCG after academic dismissal; Notes: Grade: Pass/Not Pass (P/NP).",Other,undergraduate,False,False,False,False,False,True
uncg,2026,2026-2027,ACC,201,Financial Accounting,"Introduction to external financial statements of organizations, emphasizing the use of accounting information in making investment and other decisions. Addresses ethical considerations and role of financial reporting in society. Prerequisites: Any one of the following: MAT 115 , MAT 118 , MAT 120 , MAT 150 , MAT 151 , MAT 190 , MAT 191 , MAT 196 , MAT 292 , MAT 296 . Corequisites: Pre OR corequisite: ISM 110 .",Professional,undergraduate,False,False,False,False,False,True
uncg,2026,2026-2027,ACC,202,Managerial Accounting,"Introduction to internal accounting and reporting of organizations, emphasizing the use of accounting information used by management and other decision makers within the organization. Prerequisites: ACC 201 or ACC 218 .",Professional,undergraduate,False,False,False,False,False,True
uncg,2026,2026-2027,ACC,218,Financial Statement Preparation and Disclosures,"First financial accounting course for students desiring to pursue upper division accounting courses. Includes coverage of basic financial statement preparation, time value of money concepts, and techniques for accounting valuations. Prerequisites: ISM 110 and any one of the following: MAT 115 , MAT 120 , MAT 150 , MAT 151 , MAT 191 , MAT 292 . Notes: Required entry course for all Accounting and Finance majors.",Professional,undergraduate,False,False,False,False,False,True
uncg,2026,2026-2027,ACC,318,Intermediate Accounting I,"Focuses on the conceptual framework underlying financial reporting by business enterprises, the processes by which authoritative accounting guidelines are promulgated, and the preparation, presentation, interpretation, and use of financial statements. Prerequisites: Grade of C or better in ACC 201 and ACC 202 .",Professional,undergraduate,False,False,False,False,False,True
uncg,2026,2026-2027,ACC,319,Intermediate Accounting II,"The second course in the two-course intermediate accounting sequence. Continues the examination of the preparation, presentation, interpretation, and use of financial statements. Prerequisites: Grade of C or better in ACC 318 .",Professional,undergraduate,False,False,False,False,False,True
uncg,2026,2026-2027,ACC,325,Accounting Transaction Processing Systems,"Designed to provide an understanding of a variety of accounting subsystems, systems analysis, and design issues reinforced through case studies. Prerequisites: Grade of C or better in ACC 318 .",Professional,undergraduate,False,False,False,False,False,True
uncg,2026,2026-2027,ACC,330,Cost Accounting,"Costs and cost accounting principles, costing systems, cost determination procedures; control and analytical practices for managerial decision-making. Prerequisites: Grade of C or better in ACC 202 .",Professional,undergraduate,False,False,False,False,False,True
uncg,2026,2026-2027,ACC,349,Financial Statement Analysis and Company Valuation,"The objective of the course is to enhance a student’s understanding of the tools and techniques investors and creditors use to analyze financial statements. In addition, students will learn about the basic approaches to company valuation. Prerequisites: C or better in FIN 315 .",Professional,undergraduate,False,False,False,False,False,True
uncg,2026,2026-2027,ACC,350,Internship in Accounting,This course provides students with an opportunity to apply accounting knowledge in a business environment and to gain a better understanding of the accounting profession. Prerequisites: Grade of C or better in ACC 318 . Accounting major; permission of internship coordinator; Notes: Grade: Pass/Not Pass (P/NP).,Professional,undergraduate,False,False,False,False,False,True
uncg,2026,2026-2027,ACC,420,Federal Tax Concepts,Tax structure and tax principles. Accounting principles and procedures related to tax accounting. Application of tax and accounting principles to specific problems. Prerequisites: Grade of C or better in ACC 318 or FIN 410 .,Professional,undergraduate,False,False,False,False,False,True
uncg,2026,2026-2027,ACC,432,Principles of Fraud Examination,"Examines the nature of occupational fraud and abuse in organizations. Students will learn how and why occupational fraud is committed, how fraud can be detected, how fraud can be deterred, and how to proceed if fraud is suspected. Emphasis is placed on asset misappropriation schemes, corruption, and financial statement fraud. Prerequisites: ACC 440 .",Professional,undergraduate,False,False,False,False,False,True
uncg,2026,2026-2027,ACC,440,Auditing Concepts,"Concepts underlying audit process, procedures used in external auditing, statistical application, preparation of audit programs, and reports. Use of audit software to conduct control risk assessment and substantive tests. Prerequisites: Grade of C or better in ACC 325 .",Professional,undergraduate,False,False,False,False,False,True
uncg,2026,2026-2027,ACC,461,Governmental and Nonprofit Accounting,This course will introduce students to accounting and financial reporting for nonprofit organizations and governmental entities. Prerequisites: Grade of C or better in ACC 319 .,Professional,undergraduate,False,False,False,False,False,True
uncg,2026,2026-2027,ACC,493,Honors Work  3-6,"Honors Work. Prerequisites: 3.30 GPA in the major, 12 s.h. in the major Notes: May be repeated for credit if the topic of study changes.",Professional,undergraduate,False,False,False,False,False,True
uncg,2026,2026-2027,ACC,499,Independent Research in Accounting  1-3,"Individual study of an issue or problem(s) in accounting of particular interest to the student. Student must arrange time and course requirements with instructor prior to registration. Prerequisites: Accounting major, senior standing, and permission of Department Head. Notes: May be repeated for credit with approval of Department Head.",Professional,undergraduate,False,False,False,False,False,True
uncg,2026,2026-2027,ACC,518,Intermediate Accounting I,"Focuses on the conceptual framework underlying financial reporting by business enterprises, the processes by which authoritative accounting guidelines are promulgated, and the preparation, presentation, interpretation, and use of financial statements.",Professional,graduate,False,False,False,False,False,True
uncg,2026,2026-2027,ACC,519,Intermediate Accounting II,"The second course in the two-course intermediate accounting sequence. Continues the examination of the preparation, presentation, interpretation, and use of financial statements.",Professional,graduate,False,False,False,False,False,True
uncg,2026,2026-2027,ACC,525,Accounting Transaction Processing Systems,"Designed to provide an understanding of a variety of accounting subsystems, systems analysis, and design issues reinforced through case studies.",Professional,graduate,False,False,False,False,False,True
uncg,2026,2026-2027,ACC,531,Cost Accounting,"Costs and cost accounting principles, costing systems, cost determination procedures, control and analytical practices for managerial decision-making.",Professional,graduate,False,False,False,False,False,True
uncg,2026,2026-2027,ACC,561,Governmental and Nonprofit Accounting,This course will introduce students to accounting and financial reporting for nonprofit organizations and governmental entities. Prerequisites: ACC 519 or grade of C or higher in intermediate financial accounting II course.,Professional,graduate,False,False,False,False,False,True
uncg,2026,2026-2027,ACC,602,Federal Tax Concepts,Tax structure and tax principles. Accounting principles and procedures related to tax accounting. Application of tax and accounting principles to specific problems. Prerequisites: ACC 518 .,Professional,graduate,False,False,False,False,False,True
