university,academic_year,academic_year_label,department_code,course_number,title,description,broad_area,level,progressive_signal,western_canon_signal,climate_narrow_signal,climate_broad_signal,cross_listed,deduplicated
unco,2026,2026-2027,ANT,110,Introduction to Cultural Anthropology,,Social Sciences,undergraduate,False,False,False,False,False,True
unco,2026,2026-2027,ANT,120,World Archaeology,,Social Sciences,undergraduate,False,False,False,False,False,True
unco,2026,2026-2027,ANT,130,Introduction to Biological Anthropology,,Social Sciences,undergraduate,False,False,False,False,False,True
unco,2026,2026-2027,ANT,130L,Introduction to Biological Anthropology Laboratory,,Social Sciences,undergraduate,False,False,False,False,False,True
unco,2026,2026-2027,ANT,212,North American Indians,,Social Sciences,undergraduate,False,False,False,False,False,True
unco,2026,2026-2027,ANT,233,Anthropological Linguistics,,Social Sciences,undergraduate,False,False,False,False,False,True
unco,2026,2026-2027,ANT,245,Introduction to Ethnomusicology,,Social Sciences,undergraduate,False,False,False,False,False,True
unco,2026,2026-2027,ANT,270,Professional Development,,Social Sciences,undergraduate,False,False,False,False,False,True
unco,2026,2026-2027,ANT,292,Culture and Conflict,,Social Sciences,undergraduate,False,False,False,False,False,True
unco,2026,2026-2027,ANT,296,Study Abroad Experience,,Social Sciences,undergraduate,False,False,False,False,False,True
unco,2026,2026-2027,ANT,300,Applied Anthropology,,Social Sciences,undergraduate,False,False,False,False,False,True
unco,2026,2026-2027,ANT,313,Anthropology of Globalization,,Social Sciences,undergraduate,False,False,False,False,False,True
unco,2026,2026-2027,ANT,314,Anthropology of Sex and Gender Diversity,,Social Sciences,undergraduate,True,False,False,False,False,True
unco,2026,2026-2027,ANT,316,Global Conflict and Gender,,Social Sciences,undergraduate,True,False,False,False,False,True
unco,2026,2026-2027,ANT,317,Contemporary Native American Issues,,Social Sciences,undergraduate,True,False,False,False,False,True
unco,2026,2026-2027,ANT,320,Archaeological Research Methods,,Social Sciences,undergraduate,False,False,False,False,False,True
unco,2026,2026-2027,ANT,321,Archaeology of North America,,Social Sciences,undergraduate,False,False,False,False,False,True
unco,2026,2026-2027,ANT,325,Fieldwork in Archaeology,,Social Sciences,undergraduate,False,False,False,False,False,True
unco,2026,2026-2027,ANT,328,Public Archaeology,,Social Sciences,undergraduate,False,False,False,False,False,True
unco,2026,2026-2027,ANT,330,Forensic Anthropology,,Social Sciences,undergraduate,False,False,False,False,False,True
unco,2026,2026-2027,ANT,331,Anthropology and Contemporary Human Problems,,Social Sciences,undergraduate,False,False,False,False,False,True
unco,2026,2026-2027,ANT,332,Modern Human Variation,,Social Sciences,undergraduate,False,False,False,False,False,True
unco,2026,2026-2027,ANT,333,Anthropology of Religion,,Social Sciences,undergraduate,False,False,False,False,False,True
unco,2026,2026-2027,ANT,335,Primate Behavior,,Social Sciences,undergraduate,False,False,False,False,False,True
unco,2026,2026-2027,ANT,338,World Rebuilding (Paleoecology),,Social Sciences,undergraduate,False,False,False,False,False,True
unco,2026,2026-2027,ANT,340,Quantitative Methods for Anthropology,,Social Sciences,undergraduate,False,False,False,False,False,True
unco,2026,2026-2027,ANT,350,Field Methods in Cultural Anthropology,,Social Sciences,undergraduate,False,False,False,False,False,True
unco,2026,2026-2027,ANT,355,Medical Anthropology,,Social Sciences,undergraduate,False,False,False,False,False,True
unco,2026,2026-2027,ANT,367,The End of the World,,Social Sciences,undergraduate,False,False,False,False,False,True
unco,2026,2026-2027,ANT,395,Topics in Anthropology,,Social Sciences,undergraduate,False,False,False,False,False,True
unco,2026,2026-2027,ANT,408,Workshop in Anthropology,,Social Sciences,undergraduate,False,False,False,False,False,True
unco,2026,2026-2027,ANT,422,Directed Studies,,Social Sciences,undergraduate,False,False,False,False,False,True
unco,2026,2026-2027,ANT,430,Human Evolutionary Anatomy,,Social Sciences,undergraduate,False,False,False,False,False,True
unco,2026,2026-2027,ANT,470,Seminar in Anthropology,,Social Sciences,undergraduate,False,False,False,False,False,True
unco,2026,2026-2027,ANT,492,Internship,,Social Sciences,undergraduate,False,False,False,False,False,True
unco,2026,2026-2027,APCE,385,Practicum in Community Engagement: Campus Connections,,Other,undergraduate,False,False,False,False,False,True
unco,2026,2026-2027,ART,134,Introduction to Drawing,,Humanities,undergraduate,False,False,False,False,False,True
unco,2026,2026-2027,ART,177,Creative Photography,,Humanities,undergraduate,False,False,False,False,False,True
unco,2026,2026-2027,ART,178,Ancient to Medieval Art History,,Humanities,undergraduate,False,False,False,False,False,True
unco,2026,2026-2027,ART,179,Renaissance to Modern Art History,,Humanities,undergraduate,False,True,False,False,False,True
unco,2026,2026-2027,ART,180,Contemporary Art History,,Humanities,undergraduate,False,False,False,False,False,True
unco,2026,2026-2027,ART,183,2D Design,,Humanities,undergraduate,False,False,False,False,False,True
unco,2026,2026-2027,ART,184,3D Design,,Humanities,undergraduate,False,False,False,False,False,True
unco,2026,2026-2027,ART,190,Art Appreciation,,Humanities,undergraduate,False,False,False,False,False,True
unco,2026,2026-2027,ART,210,Introduction to Ceramics,,Humanities,undergraduate,False,False,False,False,False,True
unco,2026,2026-2027,ART,221,Fiber Design I,,Humanities,undergraduate,False,False,False,False,False,True
unco,2026,2026-2027,ART,224,Research and Writing in the Visual Arts,,Humanities,undergraduate,False,False,False,False,False,True
unco,2026,2026-2027,ART,231,Introduction to Painting,,Humanities,undergraduate,False,False,False,False,False,True
unco,2026,2026-2027,ART,233,Life Drawing,,Humanities,undergraduate,False,False,False,False,False,True
unco,2026,2026-2027,ART,237,Introduction to Digital Media,,Humanities,undergraduate,False,False,False,False,False,True
unco,2026,2026-2027,ART,248,Introduction to Art Education/Art for the Exceptional Child,,Humanities,undergraduate,False,False,False,False,False,True
unco,2026,2026-2027,ART,250,Introduction to Printmaking,,Humanities,undergraduate,False,False,False,False,False,True
unco,2026,2026-2027,ART,261,Introduction to Sculpture,,Humanities,undergraduate,False,False,False,False,False,True
