university,academic_year,academic_year_label,department_code,course_number,title,description,broad_area,level,progressive_signal,western_canon_signal,climate_narrow_signal,climate_broad_signal,cross_listed,deduplicated
une,2026,2026-2027,ANAT,1005,Anatomy,"This intensive gross anatomy course is designed to prepare students for entry in the field of health professions. The course focuses on an integrated study of human anatomy using a systemic approach to provide a solid foundation of body structure which is paramount to understanding physiological and pathological concepts. This course includes anatomy content from a theoretical point of view, as well as from the practical applications of the anatomical content in clinical settings. The content is presented by systems through online
overviews and matching laboratories. The material is organized in units and presented in a logical fashion, i.e.cells and tissues, integumentary system, skeletal system, muscular system, nervous system, endocrine system, 
cardiovascular system, lymphatic and immune system, respiratory 
system, digestive system, urinary system, reproductive system, and surface anatomy. In order to increase student academic performance and facilitate better memorization of anatomical structures, this course includes hands-on dissection of actual organs, as well as the use of virtual 3D interactive anatomy software that will allow students to perform virtual dissections. Course Pre-req: One semester of college biology.",Medical Sciences,graduate,False,False,False,False,False,True
une,2026,2026-2027,ANE,701,Fundamentals of Anesthesia,"This course provides a foundation for students in many aspects of anesthesia, science, and health care concepts as they prepare to enter the core nurse anesthesia didactic portion of the program.  We will examine the fundamental laws of chemistry and physics that govern the physical and molecular processes. Emphasis will be placed on an understanding of gas laws, the process of vaporization, the dynamics of pressure and flow, and the chemical properties of substances used as anesthetic agents and drugs. An introduction to the basics of anesthesia equipment including breathing circuits, the anesthesia machine and patient monitors, which have their functional roots in the laws of physics, as well as safety in the Operating Room, whose scientific basis is likewise governed by the laws of physics.  We will review medical, pharmacological, and mathematical calculations and conversion as well as reviewing some essential critical care concepts. The basic role of the nurse anesthetist, the concept of professionalism and integrity, and the practice standards and code of ethics for practice will all be introduced in this course.",Medical Sciences,graduate,False,False,False,False,False,True
une,2026,2026-2027,ANE,702,Basic Principles of Anesthesia I,"This course continues the foundation to the introduction of the basic principles of anesthesia practice.  Protecting the patient from peri-surgical complications and iatrogenic injury will be discussed, specifically focusing on patient positioning, preventing peripheral nerve injury, and thermoregulation. Preoperative assessment and case planning will be reviewed in this course also. Theory and techniques will be augmented by hands-on opportunities with task trainers and high-fidelity simulation. The understanding and knowledge of hospital, operating room and anesthesia safety, anesthesia equipment, and the important chemistry and physical concepts will be reviewed and advanced in this course.",Medical Sciences,graduate,False,False,False,False,False,True
une,2026,2026-2027,ANE,703,Basic Principles of Anesthesia II,"This course builds on Basic Principles I and continues to introduce the basic principles of anesthesia practice. Emphasis will be on fluid and electrolyte balance, blood transfusion therapy, as well as in depth discussions regarding care of the obstetric and pediatric patients. Basic anesthesia set-up, induction and emergence sequences, and foundational principles for clinical practice will be discussed and practiced. POCUS or point of care ultrasound techniques and competencies are included in the course content. Theory and techniques are augmented by hands-on opportunities with task trainers and high-fidelity simulation. Assessments of specific competencies provide foundational experience prior to entering the clinical phase of the program.",Medical Sciences,graduate,False,False,False,False,False,True
une,2026,2026-2027,ANE,704,Advanced Pharmacology I,"This is an advanced course providing the student with detailed information of pharmacological agents that are applicable to clinical anesthesia practice. The course will apply knowledge from advanced principles of pharmacokinetics and pharmacodynamics to anesthesia agents and adjuncts. The primary focus will be on those topics which are an integral part of modern anesthesia practice. Emphasis will be placed on the following drug classifications: inhalation anesthetics, IV induction agents, local anesthetics, neuromuscular blockers and reversal agents with a focus at the cellular and systemic level.",Medical Sciences,graduate,False,True,False,False,False,True
une,2026,2026-2027,ANE,705,Advanced Pharmacology II,"This course builds on Advanced Pharmacology I. It is an advanced course providing the student with detailed information of pharmacological agents that are applicable to clinical anesthesia practice. The course will apply knowledge from advanced principles of pharmacology, pharmacokinetics and pharmacodynamics to anesthesia agents and adjuncts. Emphasis will be placed on adjunct medications used in the perioperative setting. Emphasis will be placed on adjunct medications, disease processes utilizing those medications, and the anesthetic considerations for those patients. This course includes antihyperglycemic medications, antihypertensives, medications used for psychotherapeutics, gastrointestinal disturbances, cancer and immunologic diagnoses, antimicrobials, anticoagulation therapies, renal diseases, and endocrine diseases.",Medical Sciences,graduate,False,False,False,False,False,True
une,2026,2026-2027,ANE,706,Advanced Anatomy & Physiology I,"This course will educate the student in the comprehensive study of human anatomy and physiology and the concept of the human body as an interrelated set of organ systems.  The course examines the body in a systems approach, with emphasis on those most relevant to the nurse anesthetist.   Basic physiological concepts of homeostasis and control, fundamental function, and mechanics will be reviewed for each body system. This course encompasses a sequence of anatomy and physiology topics that complement the topics presented in Pathophysiology I and Pharmacology I. Cadaver lab sessions will be utilized to emphasize specific anatomical content of this course.",Medical Sciences,graduate,False,False,False,False,False,True
une,2026,2026-2027,ANE,707,Advanced Anatomy & Physiology II,"This course builds on Advanced Physiology I. The comprehensive study of human anatomy physiology from the molecular to the cellular to the systems level will continue. Basic physiological concepts of homeostasis and control, fundamental function, and mechanics will be reviewed for each body system. This course encompasses a sequence of physiology topics that complement the topics presented in Pathophysiology II and Pharmacology II including normal physiology of the cardiac, gastrointestinal, renal, and endocrine systems.  Pregnancy and neonatal physiology are included.  Students will have cadaver lab sessions that reflect the current body system studied.",Medical Sciences,graduate,False,False,False,False,False,True
une,2026,2026-2027,ANE,708,Advanced Pathophysiology I,"This course provides a comprehensive study of diseases processes impacting major organ systems with an emphasis on clinical symptoms, treatment, and implications for anesthesia practice. In addition to text material this course makes use of readings from the primary and secondary scientific literature. It encompasses a sequence of pathophysiology topics that complement the topics presented in Advanced Anatomy and Physiology I and Advanced Pharmacology I including congenital and genetic diseases associated with anesthesia, cancers, immunology, disorders of brain and motor functions, and respiratory pathologies.",Medical Sciences,graduate,False,False,False,False,False,True
une,2026,2026-2027,ANE,709,Advanced Pathophysiology II,"This course provides a comprehensive study of diseases processes impacting major organ systems with an emphasis on clinical symptoms, treatment, and implications for anesthesia practice. In addition to text material this course makes use of readings from the primary and secondary scientific literature. It encompasses a sequence of pathophysiology topics that complement the topics presented in Advanced Physiology II and Advanced Pharmacology II including cardiac, renal, gastrointestinal, and musculoskeletal disorders.  Endocrine, hematology and hepatic disease processes are included.",Medical Sciences,graduate,False,False,False,False,False,True
une,2026,2026-2027,ANE,710,Airway Management,"The anatomy and physiology of the airway will be reviewed in this course.  Students will participate in the UNE Cadaver lab to advance airway anatomy and airway assessment understanding. Equipment, techniques, troubleshooting, and complications related to airway management will be discussed and demonstrated.  Students will gain a thorough understanding of the many airway management options available, be exposed to advanced airway management techniques, and thoroughly discuss difficult airway algorithms and preparations.  Specific airway challenges will be explored, such as obstetric and pediatric populations, and in patients across the lifespan.  Students will have opportunity to work hands on with anesthesia airway equipment and practice airway management skills with task trainers, high fidelity simulation, using a wide variety of airway management equipment.",Medical Sciences,graduate,True,False,False,False,False,True
une,2026,2026-2027,ANE,712,Prof Role Dev of the CRNA,"This course will focus on the necessary knowledge for critical care nurses to become nurse anesthetists. The importance of the professional components of nurse anesthesia practice will be emphasized, as well as ethical, medical, and legal responsibilities. The respect for patient confidentiality and dignity will be reinforced, as will the importance of appropriate interprofessional and interpersonal communication skills. The history of the anesthesia and nurse anesthetists will be reviewed. This course will highlight the importance of wellness for anesthesia providers, patients, and other professionals.  Multicultural and multigenerational care concerns are also discussed.  Areas of professional responsibility and potential professional roles will be addressed including APRN, educator, military member, consultant, self-employed practitioner, CRNA clinician, leader, change agent, organizational leadership position and administrator.",Medical Sciences,graduate,False,False,False,False,False,True
une,2026,2026-2027,ANE,714,Advanced Health Assessment Across the Lifespan,This course is designed to provide the nurse anesthesia student with the skills needed to perform a comprehensive health assessment for patients across the lifespan. The health assessment will include the major components of a health history and physical assessment emphasizing particular matters relevant to nurse anesthesia and the perioperative management of the patient. Students will be required to perform comprehensive physical assessments on standardized patients.,Medical Sciences,graduate,False,False,False,False,False,True
une,2026,2026-2027,ANE,715,Advanced Principles of Anesthesia I,"This course is designed to present the student with an overview of advanced principles of nurse anesthesia. Techniques for anesthetic administration and technologies related to various surgical and diagnostic interventions will be discussed. The focus of the course relates anesthetic techniques and perioperative management for surgical and diagnostic procedures in patient populations across the lifespan. Specific topics include obesity, geriatrics, and procedures related to surgical procedures of the GU/Renal, Biliary, GI, Endocrine, EENT and Head and Neck systems. Classes will consist primarily of lectures, which may be disseminated in a distance learning format. Discussion and application of course concepts take place via group discussions and case scenario presentations. Simulation sessions will focus on surgical procedures and anesthetic plans and interventions for specific body systems.",Medical Sciences,graduate,False,False,False,False,False,True
