university,academic_year,academic_year_label,department_code,course_number,title,description,broad_area,level,progressive_signal,western_canon_signal,climate_narrow_signal,climate_broad_signal,cross_listed,deduplicated
uni,2026,2026-2027,ACCT,2120,Principles of Financial Accounting,"Introduction to reporting financial information regarding the operating, investing and financing activities of business enterprises to present and potential investors, creditors,  and others. Regression note: Subsequent to successfully completing a 100/3000/4000-level Accounting course, neither ACCT 2120 nor ACCT 2130 may be repeated. Prerequisite(s): sophomore standing.
 (Fall, Spring, Summer)",Professional,undergraduate,False,False,False,False,False,True
uni,2026,2026-2027,ACCT,2130,Principles of Managerial Accounting,"Introduction to processes leading to information useful to decision-makers responsible for an accounting entity's activities. Includes product costing, cost behavior, budgeting, performance analysis, and relevant costs. Regression note: Subsequent to successfully completing a 100/3000/4000-level Accounting course, neither ACCT 2120 nor ACCT 2130 may be repeated. Prerequisite(s): C- or better in ACCT 2120 ; sophomore standing.
 (Fall, Spring, Summer)",Professional,undergraduate,False,False,False,False,False,True
uni,2026,2026-2027,ACCT,3055,VITA: Individual Income Tax Preparation,"The Volunteer Income Tax Assistance Program (VITA) is sponsored by the IRS. VITA volunteers prepare federal and state income tax returns at no charge for low-income individuals. May be repeated one time for maximum of 4 hours. Prerequisite(s): ACCT 4150 .
 (Spring)",Professional,undergraduate,False,False,False,False,False,True
uni,2026,2026-2027,ACCT,3075,Legal and Ethical Concepts for Accountants,"Study of ethical and legal concepts including the ethical context of law, the Constitution, contracts, UCC, secured transactions, business organizations, bankruptcy, agency, torts, employment, and property. Ethical considerations of all topics are analyzed. Prerequisite(s): junior standing.
 (Fall)",Professional,undergraduate,False,False,False,False,False,True
uni,2026,2026-2027,ACCT,3090,Internship -- Accounting,"Full-time accounting internship for minimum of eight weeks. Offered on credit/no credit basis only. Prerequisite(s): 2.70 cumulative UNI GPA; junior standing; consent of department head.
 (Fall, Spring, Summer)",Professional,undergraduate,False,False,False,False,False,True
uni,2026,2026-2027,ACCT,3094,Individual Readings,"Directed readings and reports. May be repeated for maximum of 6 hours. Prerequisite(s): consent of department head or MAcc coordinator.
 (Fall, Spring, Summer)",Professional,undergraduate,False,False,False,False,False,True
uni,2026,2026-2027,ACCT,3120,Intermediate Accounting I,"In-depth coverage of the theory and practice of financial accounting for assets, including accounting standards/concepts development, time value of money, and revenue recognition. Prerequisite(s): ACCT 2120 ; ACCT 2130 ; junior standing.
 (Fall and Spring)",Professional,undergraduate,False,False,False,False,False,True
uni,2026,2026-2027,ACCT,3122,Intermediate Accounting II,"In-depth coverage of the theory and practice of financial accounting for liabilities and equity, including earnings per share, deferred taxes, pensions, leases, accounting changes, error corrections, and cash flows. Prerequisite(s): ACCT 2120 ; ACCT 2130 ; C- or better in ACCT 3120 ; junior standing.
 (Fall and Spring)",Professional,undergraduate,True,False,False,False,False,True
uni,2026,2026-2027,ACCT,3130,Cost Accounting and Analysis,"Management use of accounting data to aid in product costing, performance analysis, budgeting, and other operating decisions. Prerequisite(s): ACCT 2120 ; ACCT 2130 ; junior standing.
 (Fall and Spring)",Professional,undergraduate,False,False,False,False,False,True
uni,2026,2026-2027,ACCT,3140,Accounting Information Systems and Analytics,"Analysis of computer-based accounting information systems and how organizations capture, record, store, secure, process, report, and analyze accounting data and information. Prerequisite(s): ACCT 2120 ; ACCT 2130 ; C- or better in ACCT 3120 ; MGMT 2080 ; junior standing.
 (Fall and Spring)",Professional,undergraduate,False,False,False,False,False,True
uni,2026,2026-2027,ACCT,3179,Cooperative Education in Accounting,"Offered on credit/no credit basis only. May be repeated for maximum of 6 hours.
 (Fall, Spring, Summer)",Professional,undergraduate,False,False,False,False,False,True
uni,2026,2026-2027,ACCT,4052,Advanced Income Tax,"Advanced income taxation as relates to corporations, partnerships, pass through entities, trusts, and estates.  Examines a framework for integrating tax planning into accounting and business decisions. Prerequisite(s): ACCT 4150 ; junior standing.
 (Spring)",Professional,undergraduate,False,False,False,False,False,True
uni,2026,2026-2027,ACCT,4150,Income Tax,"Introductory course in federal income taxation as applied to individuals and businesses; emphasis on income and expense recognition, individual taxation, and property transactions. Prerequisite(s): ACCT 2120 ; ACCT 2130 ; C- or better in ACCT 3120 ; junior standing.
 (Fall and Spring)",Professional,undergraduate,False,False,False,False,False,True
uni,2026,2026-2027,ACCT,4160,Auditing,"Principles, practices, and procedures used to determine reliability of financial records and statements. Prerequisite(s): ACCT 2120 ; ACCT 2130 ; C- or better in ACCT 3120 ; ACCT 3122 ; ACCT 3140 ; junior standing.
 (Fall and Spring)",Professional,undergraduate,False,False,False,False,False,True
uni,2026,2026-2027,ACCT,6030,Accounting for Business Management,"Use of accounting data in managerial decision-making process and in the analysis and control of business operations. Prerequisite(s): ACCT 2120 or equivalent; consent of MBA Director or MAcc Director.
 (Variable)",Professional,graduate,False,False,False,False,False,True
uni,2026,2026-2027,ACCT,6052,Advanced Tax Topics,"Covers advanced issues related to income taxation of corporations, partnerships, S corporations and fiduciaries, and estate and gift taxes. Emphasis on conceptual understanding and problem solving. Prerequisite(s): ACCT 4150 ; admission to MAcc program.
 (Spring)",Professional,graduate,False,False,False,False,False,True
uni,2026,2026-2027,ACCT,6090,Graduate Internship in Accounting,"Offers students enrolled in the Master of Accounting Program an opportunity to apply classroom learning in a professional accounting environment. Offered on credit/no credit basis only. Prerequisite(s): admission to MAcc program; consent of MAcc Coordinator.
 (Fall, Spring, Summer)",Professional,graduate,False,False,False,False,False,True
uni,2026,2026-2027,ACCT,6092,Topics in Accounting: Fraud Examination,"Selected topics in Accounting. May be repeated for maximum of 6 hours. Anticipated typical credit of 1 hour. Prerequisite(s): consent of MBA Director or admission to MAcc program.
 (Variable)",Professional,graduate,False,False,False,False,False,True
uni,2026,2026-2027,ACCT,6120,Financial Accounting Theory and Analysis,"In-depth review and analysis of theoretical foundations of corporate financial reporting. Prerequisite(s): admission to MAcc program.
 (Fall)",Professional,graduate,False,False,False,False,False,True
uni,2026,2026-2027,ACCT,6140,Business Analytics in Accounting,"Provides an in-depth understanding of data analytics in various areas of accounting (audit, tax, financial and managerial). Topics will include current analytics tools, management of analytics projects, as well as governance and internal control issues from current practice. Prerequisite(s): ACCT 3140 ; MGMT 2080 ; admission to MAcc program.
 (Fall)",Professional,graduate,False,False,False,False,False,True
uni,2026,2026-2027,ACCT,6170,Business Law for the Professional Accountant,"Topics necessary for accounting professionals including contracts, UCC, commercial paper, secured transactions, and bankruptcy. Prerequisite(s): admission to MAcc program.
 (Fall)",Professional,graduate,False,False,False,False,False,True
uni,2026,2026-2027,ACCT,6175,Applied Professional Research,"Study and application of research methods for accounting professionals in financial accounting, auditing, and tax with emphasis on communication and analytic skills. Prerequisite(s): ACCT 4150 ; ACCT 4160 ; admission to MAcc program.
 (Fall)",Professional,graduate,False,False,False,False,False,True
uni,2026,2026-2027,ACCT,6285,Individual Readings,"Directed readings and reports. May be repeated for maximum of 4 hours. Prerequisite(s): consent of MBA Director and department head, or consent of MAcc Coordinator.
 (Fall, Spring, Summer)",Professional,graduate,False,False,False,False,False,True
uni,2026,2026-2027,ACCT,6289,Seminar in Contemporary Issues in Accounting,"Seminar on topics offered on a rotating basis. Offerings include contemporary issues in auditing, tax planning, international tax and accounting, and accounting theory. May be repeated one time for additional credit. Prerequisite(s): consent of MBA Director or admission to MAcc program.
 (Variable)",Professional,graduate,False,False,False,False,False,True
uni,2026,2026-2027,ACCT,6299,Research,"May be repeated for credit. Prerequisite(s): consent of MBA Director and department head, or consent of MAcc Coordinator.
 (Fall, Spring, Summer)",Professional,graduate,False,False,False,False,False,True
uni,2026,2026-2027,ANTH,1001,Bones & Stones: The Science of Human Origins,"This course will focus on the study of human origins employing scientific methods and theories derived from biological anthropology and archaeology. Students will get hands-on experience with various lines or scientific evidence to help develop a deeper understanding of their place in the world by understanding how we got here, tracing that route from our primate past, to becoming bipedal, tool-making, fire users who eventually spread across the globe and created increasingly complex societies.
 (Fall and Spring)",Social Sciences,undergraduate,False,False,False,False,False,True
uni,2026,2026-2027,ANTH,1002,Introduction to Cultural Anthropology,"Introduction to examining the human condition in cross-cultural perspective. Consideration of the diversity and commonality among human cultures and societies. Includes experiences and perspectives from a wide range of human groups by examining their technologies, economic systems, family life, political structures, art, languages, and religious beliefs and practices.
 (Fall and Spring)",Social Sciences,undergraduate,True,False,False,False,False,True
uni,2026,2026-2027,ANTH,1003,Bones & Stones: The Science of Human Origins Laboratory,"This laboratory course is offered as a supplement to the course Bones and Stones: The Science of Human Origins. Laboratory exercises are designed to introduce students to the scientific method and explore topics including human variation, human and non-human primate anatomy, the primate/hominin fossil record, the archaeology of early humans and other resources to investigate processes that affect human origins.
 (Fall and Spring)",Social Sciences,undergraduate,False,False,False,False,False,True
uni,2026,2026-2027,ANTH,2003,People of the Great Lakes,"Survey of Great Lakes cultures and societies from the Ice Age to the 21st century.
 (Fall and Spring)",Social Sciences,undergraduate,False,False,False,False,False,True
uni,2026,2026-2027,ANTH,2005,Archaeology for Beginners,"Introduction to how archaeologists reconstruct past societies from artifacts and ruins. Covers archaeological techniques from excavation to lab analysis.
 (Fall and Spring)",Social Sciences,undergraduate,False,False,False,False,False,True
uni,2026,2026-2027,ANTH,2006,Archaeology for Beginners Laboratory,"This laboratory course is offered as a required supplement and co-requisite to the course Archaeology for Beginners. This course provides a practical introduction to the methods and techniques used by archaeologists in the field and laboratory. Students can expect to learn and practice archaeological techniques outdoors. Corequisite(s): ANTH 2005 .
 (Fall and Spring)",Social Sciences,undergraduate,False,False,False,False,False,True
uni,2026,2026-2027,ANTH,2018,Food and Culture,"This course examines the relationship between human food and culture from a holistic and comparative perspective. Key issues related to food, nutrition, and culture will be considered. Major topics include sociocultural and ecological underpinnings of human nutrition and the evolution of the human food ways and food systems; sociocultural, symbolic, and medical uses of food; food and ethnicity; food and class; food and gender; industrial food, fast food, and traditional food; the political economy of food overconsumption and malnutrition; food and equality; and global food justice.
 (Variable)",Social Sciences,undergraduate,True,False,False,True,False,True
uni,2026,2026-2027,ANTH,2300,World Prehistory and the Rise of Civilizations,"Archaeology of human evolution from the appearance of Homo sapiens to earth's earliest societies with and emphasis on cultural development of complex civilizations in the Middle East, Americas, Europe, Asia, and Africa.
 (Fall and Spring)",Social Sciences,undergraduate,False,False,False,False,False,True
uni,2026,2026-2027,ANTH,2430,Bioarchaeology,"This class focuses on the study of human skeletal remains from archaeological settings to aid in reconstructing the biological and cultural pasts of populations. The goals and objectives of this class are to provide the student with a basic knowledge of bioarchaeological theory, methods, and applications with an emphasis on the latest literature and research. The class will be grounded in the scientific approach. The student will leave the class with the ability to examine human skeletal remains with the intent of providing biocultural information about the identity of an individual and how it relates to the overall demographics of the population being studied. Prerequisite(s): ANTH 1001 .
 (Odd Falls)",Social Sciences,undergraduate,True,False,False,False,False,True
uni,2026,2026-2027,ANTH,3001,Language and Culture,"Examination of how language use shapes and expresses cultural identity. Implications of linguistic diversity for world view, gender and ethnic identity, education, and cross-cultural communication. Prerequisite(s): PSYCH 1001 or SOC 1000 or ANTH 1002 .
 (Variable)",Social Sciences,undergraduate,True,False,False,False,False,True
uni,2026,2026-2027,ANTH,3010,"Climate Change, Human Migration and Conflict","There is growing consensus among professionals in the intelligence and security fields that climate change has very real impacts on demographic displacement, vulnerability of growing masses of people to severe disasters (both natural and human-made) and that there are serious near- and long-term implications for national and global security. This course examines current and emerging forms of threats to nations and human communities that result, at least in part, from climate change.
 (Fall or Spring)",Social Sciences,undergraduate,False,False,True,True,False,True
uni,2026,2026-2027,ANTH,3132,Native North America,"Ethnographic survey of sociocultural systems developed by Native Americans north of Mexico. Emphasis on relationships that exist among ecological factors, subsistence techniques, social organizations, and belief systems; and the impact interactions with European and U.S. societies had on Indian lifestyles. (Same as HUM 3132 )
 (Variable)",Social Sciences,undergraduate,True,False,False,True,False,True
uni,2026,2026-2027,ANTH,3137,Native Central and South America,"Ethnographic focus on the sociocultural systems of the indigenous peoples of Mesoamerica, Amazon Basin, and the Andean Highlands. Emphasis on inter-relationships among environment, history, social organizations, and belief systems from a holistic and comparative perspective. (Same as HUM 3137 )
 (Fall and Spring)",Social Sciences,undergraduate,True,False,False,False,False,True
uni,2026,2026-2027,ANTH,3201,Physical Anthropology: History and Theory,"Historical perspective on the development of evolutionary thought and how it changed ideas in physical anthropology, including the theoretical foundations of the ""modern synthesis"", the race concept, primate studies, paleoanthropology, and human ecology and adaptation. Prerequisite(s): ANTH 1001 ; junior standing.
 (Spring)",Social Sciences,undergraduate,True,False,False,False,False,True
uni,2026,2026-2027,ANTH,3420,Forensic Anthropology,"Introduction to methods used in the recovery of unidentified human remains, their use in establishing identity, the post-mortem interval, pathological defects and traumatic insults and reconstructing the events surrounding death. Knowledge of the human skeletal anatomy preferred. Prerequisite(s): ANTH 1001 .
 (Fall)",Social Sciences,undergraduate,True,False,False,False,False,True
uni,2026,2026-2027,ANTH,3440,Introduction to Museum Studies,"Exploration of history, public mission, working environment, and ethical issues of museums. Discussion of practical skills and theoretical issues of museum studies, exposing students to broad range of museum types and career opportunities. (Same as HIST 3020 )
 (Variable)",Social Sciences,undergraduate,False,False,False,False,False,True
uni,2026,2026-2027,ANTH,3450,Archaeological Fieldwork,"Introduction to field research techniques (survey, excavation, and mapping), laboratory processing, and hypothesis testing. Conducted in the field. Prerequisite(s): ANTH 1001 ; consent of instructor.
 (Summer)",Social Sciences,undergraduate,False,False,False,False,False,True
uni,2026,2026-2027,ANTH,3500,Slavery and Human Trafficking,"The purpose of this course is to explore ethnical citizenship through an examination of global slavery and human trafficking. We will begin with a brief look at historic slavery in Europe and Africa and some of the ""timeless"" aspects of slavery, including sexual abuse, relationships with free people, economic roles, access to freedom or manumission, and rebellion. We will then proceed to a more in-depth examination of African slavery in the Americas, including the United States, between roughly 1492 and the late 1800s. Finally, we will draw from our reflections on historic slavery to examine contemporary forms of human trafficking. Throughout the course we will discuss several common themes in accounts of enslaved and/or trafficked people: their legal status; demographics and work routines; treatment; ""conditions of life""; community and culture; access to freedom; relationship to the culture and society of free people; historic and contemporary consumer demands for enslaved and trafficked humans; and life after liberation.
 (Odd Falls)",Social Sciences,undergraduate,True,False,False,False,False,True
uni,2026,2026-2027,ANTH,3501,Research Experience in Anthropology,"Research participation and/or independent supervised research in anthropology. May be repeated for maximum of 6 hours. Prerequisite(s): 15 hours in anthropology; consent of instructor and department head.
 (Fall, Spring, Summer)",Social Sciences,undergraduate,False,False,False,False,False,True
uni,2026,2026-2027,ANTH,3502,Experience in Applied Anthropology,"Work experience in applied anthropology. Requires prior consultation with instructor. Offered on credit/no credit basis only. Prerequisite(s): 12 hours in anthropology; consent of instructor and department head.
 (Fall, Spring, Summer)",Social Sciences,undergraduate,False,False,False,False,False,True
uni,2026,2026-2027,ANTH,4198,Independent Study,"May be repeated with department head approval. Prerequisite(s): written consent of instructor and department head.
 (Variable)",Social Sciences,undergraduate,False,False,False,False,False,True
uni,2026,2026-2027,ANTH,4485,Anthropology Internship,"Experiential learning through internship placement in an anthropology-related agency or position. Requires prior consultation with instructor. Intended for anthropology majors. May be repeated for maximum of three hours. A maximum of three credit hours of ANTH 4485 or 4585 may count toward the anthropology major. Prerequisite(s): 12 hours in anthropology (ANTH xxxx); major GPA of 2.80 or higher; junior standing; consent of instructor and department head.
 (Fall, Spring, Summer)",Social Sciences,undergraduate,False,False,False,False,False,True
uni,2026,2026-2027,ANTH,4585,Practical Field Experience,"Designed for students currently working in in an anthropology-related agency or position. Provides an opportunity for students to apply academic material to their current jobs in anthropology or a related field. Intended for anthropology majors. May be repeated for maximum three hours. A maximum of three credit hours of ANTH 4485 or 4585 may count toward the anthropology major. Prerequisite(s): 12 hours in anthropology (ANTH xxxx); major GPA of 2.80 or higher; junior standing; consent of instructor and department head.
 (Fall, Spring, Summer)",Social Sciences,undergraduate,False,False,False,False,False,True
uni,2026,2026-2027,ART,1002,Visual Inventions,"For non-Art majors. Studio course: experiences in critical responses to the visual arts through active involvement with various creative processes and media; relationship of the visual arts to other fields of human endeavor.
 (Variable)",Humanities,undergraduate,False,False,False,False,False,True
uni,2026,2026-2027,ART,1011,Drawing I,"Students in this beginning studio course develop technical and observational drawing skills by exploring a wide range of materials and subject matter.
 (Fall and Spring)",Humanities,undergraduate,False,False,False,False,False,True
uni,2026,2026-2027,ART,1022,Drawing II,"Students build on the formal elements and observational techniques explored in Drawing I, while color concepts and media are introduced. Emphasis is placed on further technical development and media experimentation. Prerequisite(s): ART 1011 .
 (Fall and Spring)",Humanities,undergraduate,False,False,False,False,False,True
