university,academic_year,academic_year_label,department_code,course_number,title,description,broad_area,level,progressive_signal,western_canon_signal,climate_narrow_signal,climate_broad_signal,cross_listed,deduplicated
unk,2026,2026-2027,ACCT,126,First Year Seminar,"The First-Year Seminar provides students with a multidisciplinary experience in which they approach an issue or problem from the perspective of three different academic differences.  The First-Year Seminar will consist of three 1-credit hour courses taken as co-requisites in a single semester.  The successful completion of all three courses satisfies the General Studies LOPER 1 course requirement.  Students may take the First-Year Seminar in any discipline, irrespective of their major or minor.  Students admitted as readmit students or transfer students who transfer 18 or more hours of General Studies credit to UNK are exempt from taking a LOPER 1 course.",Professional,undergraduate,False,False,False,False,False,True
unk,2026,2026-2027,ACCT,240,Accounting for Nonbusiness Majors,"The objectives of this course are to introduce students to accounting principles, practices, and procedures and teach them to use accounting information to make business decisions. General topics to be covered include the accounting cycle, current assets, long-lived assets, current liabilities, income, cash flow, analysis of accounting information, and relevant decision making. Prerequisite: Completion of Loper 4 General Education Math class",Professional,undergraduate,False,False,False,False,False,True
unk,2026,2026-2027,ACCT,250,Principles of Accounting I,"This course introduces students to the preparation and use of financial statements. It covers the accounting cycle, current assets, current liabilities, and plant assets. It focuses on financial reporting for service businesses or merchandising businesses organized as corporations. Prerequisite: Completion of Loper 4 General Education Math class",Professional,undergraduate,False,False,False,False,False,True
unk,2026,2026-2027,ACCT,251,Principles of Accounting II,"Continuation of the basic accounting cycle with particular attention given to development of special procedures for control, partnerships, and corporations. Analysis of financial information used within the organization by manufacturing and service businesses. Prerequisite: ACCT 250 and Completion of LOPER 4 General Education Math class",Professional,undergraduate,False,False,False,False,False,True
unk,2026,2026-2027,ACCT,253,Introduction to QuickBooks,"This course provide an introduction to QuickBooks Pro accounting software including setting up a new company and chart of accounts; recording transactions with customers, vendors and employees; understanding internal controls; managing lists; preparing month-end and year-end adjusting journal entries; running reports and customizing them; and changing forms. Prerequisite: ACCT 250",Professional,undergraduate,False,False,False,False,False,True
unk,2026,2026-2027,ACCT,280H,Special Topics     1-3 credit hours,Total Credits Allowed: 3.00,Professional,undergraduate,False,False,False,False,False,True
unk,2026,2026-2027,ACCT,311,Business Law I,"A study of the legal environment of business. Topics include legal theory, and resources, ethics, the court system, torts, contracts, government regulation, property law, and international law considerations.",Professional,undergraduate,False,False,False,False,False,True
unk,2026,2026-2027,ACCT,312,Commercial Law,"A study of the Uniform Commercial Code (including sales, commercial paper, secured transactions), credit/debtor relationships, agency law, and business entities. Prerequisite: ACCT 311",Professional,undergraduate,False,False,False,False,False,True
unk,2026,2026-2027,ACCT,317,Construction Law,"This course involves the study of the legal environment of business as it relates to construction management. It includes an introduction to legal theory and to the court systems of the United States. The legal framework of the design and construction process will be emphasized. This will include information regarding legal business forms, how to understand and prepare the contracts specifically used in the construction industry, as well as how to enforce contractor rights provided by those contracts.",Professional,undergraduate,False,False,False,False,False,True
unk,2026,2026-2027,ACCT,350,Intermediate Accounting I,"An in-depth study of the theory, concepts, and practice of financial accounting. Focus is on reporting useful information to third parties through basic corporate financial statements. Prerequisite: ACCT 251 and Completion of LOPER 4 General Education Math class",Professional,undergraduate,False,False,False,False,False,True
unk,2026,2026-2027,ACCT,351,Intermediate Accounting II,A continuation of Intermediate Accounting I with emphasis on the more complex problems of financial reporting. Prerequisite: ACCT 350,Professional,undergraduate,False,False,False,False,False,True
unk,2026,2026-2027,ACCT,352,Cost Accounting,"Accounting for manufacturing concerns with special emphasis on managerial decisions, as well as on unit and process costs. Prerequisite: ACCT 251 and Completion of LOPER 4 General Education Math class",Professional,undergraduate,False,False,False,False,False,True
unk,2026,2026-2027,ACCT,391,Accounting Information Systems,"The role of accounting information systems within an organization's management information system, information system documentation, transaction cycle reporting; principles of internal control; the use of proprietary general ledger software. Prerequisite: ACCT 251 and Completion of LOPER 4 General Education Math class",Professional,undergraduate,False,False,False,False,False,True
