university,academic_year,academic_year_label,department_code,course_number,title,description,broad_area,level,progressive_signal,western_canon_signal,climate_narrow_signal,climate_broad_signal,cross_listed,deduplicated
unl,2026,2026-2027,ACCT,150,Accounting Careers and Connections,"Learn more about the vast career paths with an accounting degree by engaging with accounting professionals, accounting faculty and other accounting students. Develop communication and critical thinking skills by engaging with guest speakers on relevant topics impacting the business world.",STEM,undergraduate,False,False,False,False,False,True
unl,2026,2026-2027,ACCT,200,Accounting for Business Decisions,"Designed to introduce financial and managerial accounting concepts to non-business majors who will use such information in future roles as investors, owners, managers, employees and/or taxpaying citizens. Lays a foundation for understanding and using accounting concepts, skills and judgments in numerous endeavors, both career and personal.",STEM,undergraduate,False,False,False,False,False,True
unl,2026,2026-2027,ACCT,201,Introductory Financial Accounting,"Fundamentals of financial accounting, focusing on measuring and communicating business activities so external users can make informed decisions.",STEM,undergraduate,False,False,False,False,False,True
unl,2026,2026-2027,ACCT,201H,Introductory Financial Accounting,"Fundamentals of financial accounting, focusing on measuring and communicating business activities so external users can make informed decisions.",STEM,undergraduate,False,False,False,False,False,True
unl,2026,2026-2027,ACCT,202,Introductory Managerial Accounting,"Fundamentals of managerial accounting, focusing on techniques and analysis used to evaluate and improve business operations and profitability so decision makers within a company (internal users) can make informed decisions.",STEM,undergraduate,False,False,False,False,False,True
unl,2026,2026-2027,ACCT,202H,Introductory Managerial Accounting,"Fundamentals of managerial accounting, focusing on techniques and analysis used to evaluate and improve business operations and profitability so decision makers within a company (internal users) can make informed decisions.",STEM,undergraduate,False,False,False,False,False,True
unl,2026,2026-2027,ACCT,301,Using Accounting Information,"Designed to introduce non-accounting majors to the basics of using accounting information. Covers the practical relationships between business decisions and the financial statements, including forecasting, investment decisions, and tax effects.",STEM,undergraduate,False,False,False,False,False,True
unl,2026,2026-2027,ACCT,306,Survey of Accounting,Fundamentals of accounting analysis which are most helpful in understanding managerial and business concepts and practices.,STEM,undergraduate,False,False,False,False,False,True
unl,2026,2026-2027,ACCT,308,Intermediate Managerial Accounting,"Accounting concepts and tools that allow business managers and owners to make insightful and data-driven decisions. Cost behavior, relevant costs, capital budgeting, and cost-volume-profit tools aid in planning business strategies. Budgets and variances help in controlling business operations. Responsibility accounting, transfer pricing, and ratio analysis are useful in measuring operational performance.",STEM,undergraduate,False,False,False,False,False,True
unl,2026,2026-2027,ACCT,309,Accounting Systems and Analytics,"Examination of accounting information system concepts, applications, and the process by which they are analyzed, designed, and implemented. Emphasis on business decision making through data analytics in financial, auditing, and management accounting contexts.",STEM,undergraduate,False,False,False,False,False,True
unl,2026,2026-2027,ACCT,312,Introduction to Income Taxation,Introduction to federal income tax law with emphasis on the tax implications of business and investment activities.,STEM,undergraduate,False,False,False,False,False,True
unl,2026,2026-2027,ACCT,313,Intermediate Financial Accounting I,"Analysis and application of current and emerging financial accounting concepts and techniques, with a focus on the recognition and measurement of revenues and assets. Development of skills to recognize important accounting issues, ask critical questions, and analyze the impact of business transactions on financial statements.",STEM,undergraduate,False,False,False,False,False,True
unl,2026,2026-2027,ACCT,314,Intermediate Financial Accounting II,"Continuation of ACCT 313 that examines current and emerging financial accounting concepts and techniques, with a focus on long-term liabilities, income tax allocation, pensions, leases, and corporate equities. Development of skills to recognize important accounting issues, ask critical questions, and thoroughly analyze financial statements, including the statement of cash flows.",STEM,undergraduate,False,False,False,False,False,True
unl,2026,2026-2027,ACCT,391,Special Topics,Topics vary.,STEM,undergraduate,False,False,False,False,False,True
unl,2026,2026-2027,ACCT,395,Professional Internship,"Provides an opportunity to study theories, principles, practices, techniques, and strategies utilized in the business field through an internship related to the major field of study and an integral or important part of their program of study. Reflect on classroom knowledge and develop practical experience in professional business situations through an approved internship.",STEM,undergraduate,False,False,False,False,False,True
unl,2026,2026-2027,ACCT,395A,Accounting Internship,"Provides an opportunity to study theories, principles, practices, techniques, and strategies utilized in the accounting profession through a full-time internship for nine or more weeks during the spring semester. Reflect on classroom knowledge and develop practical experience in professional business situations through an approved internship.",STEM,undergraduate,False,False,False,False,False,True
unl,2026,2026-2027,ACCT,396,Independent Study,Special research project or reading program under the direction of a faculty member within the School of Accountancy.,STEM,undergraduate,False,False,False,False,False,True
unl,2026,2026-2027,ACCT,396H,Honors: Independent Study,Special research project or reading program under the direction of a faculty member within the School of Accountancy.,STEM,undergraduate,False,False,False,False,False,True
unl,2026,2026-2027,ACCT,401,Fraud Examination and Internal Audit,"Principles and methodologies of detecting and deterring fraud using accounting, auditing, and investigative skills. Also introduces the fundamentals of internal auditing in a changing business environment.",STEM,undergraduate,False,False,False,False,False,True
