university,academic_year,academic_year_label,department_code,course_number,title,description,broad_area,level,progressive_signal,western_canon_signal,climate_narrow_signal,climate_broad_signal,cross_listed,deduplicated
unm,2026,2026-2027,ASFD,1110,Introduction to Actinide Science,"Introduction to the basic principles of actinide science, with a special emphasis on the light actinide elements uranium, neptunium and americium; course covers the nuclear materials cycle from production to disposal. 
Students must be employed as a Laboratory Technician/Technologist at Los Alamos National Laboratory (LANL), N3B, other National Laboratories, or Department of Energy facilities.",Other,undergraduate,False,False,False,False,False,True
unm,2026,2026-2027,ASFD,1120,Nuclear Materials Process Techniques,"Introduction to the basic techniques used for the manipulation and manufacturing of nuclear materials, with a special emphasis on isotopes of the light actinide elements uranium, neptunium, plutonium and americium. 
Students must be employed as a Laboratory Technician/Technologist at Los Alamos National Laboratory (LANL), N3B, other National Laboratories, or Department of Energy facilities.
Prerequisite: ENGL 1110X and MATH 012 and NFFW 1110 and NFFW 1120 and NFFW 1120L.
Corequisite: 1110 and 1120L.
Restriction: permission of instructor.",Other,undergraduate,False,False,False,False,False,True
unm,2026,2026-2027,ASFD,1120L,Nuclear Materials Process Laboratory,"Laboratory experience for nuclear material processing equipment and techniques. Topics include emergency response, routine procedures, and other related to working in a nuclear laboratory. 
Students must be employed as a Laboratory Technician/Technologist at Los Alamos National Laboratory (LANL), N3B, other National Laboratories, or Department of Energy facilities.
Prerequisite: ENGL 1110X and MATH 012 and NFFW 1110 and NFFW 1120 and NFFW 1120L.
Corequisite: 1110 and 1120.
Restriction: permission of instructor.",Other,undergraduate,False,False,False,False,False,True
unm,2026,2026-2027,ASCP,105,Arts and Sciences Co-op Work Phase,A mechanism for registered work phase students from the College of Arts and Sciences as full-time students while working. Offered on a CR/NC basis only.,Other,undergraduate,False,False,False,False,False,True
unm,2026,2026-2027,ADOB,1111,Adobe Construction Basics,"History and overview of adobe construction techniques. Topics include monumental structures and settlements throughout the world and adobe practices that meet modern building codes. Students will examine construction and design techniques from foundation to roof. Students will make adobe bricks, build walls and construct other building components.",Other,undergraduate,False,False,False,False,False,True
unm,2026,2026-2027,ADOB,1113,Passive Solar Adobe Design,"The integration of passive solar heating systems into the design of adobe homes. Topics include direct gain systems, Trombe Wall (indirect gain) systems and greenhouses/sunspaces. Students will learn the advantages and disadvantages of each system in order to choose among them for use in different parts of a house or commercial structure. Students will calculate the proper sizing of systems as well as auxiliary back-up systems.",Other,undergraduate,False,False,False,False,False,True
unm,2026,2026-2027,ADOB,1115,Finish Practices,"Traditional and modern finishes used in the building of the exteriors and interiors of buildings of the Southwest. Topics include treatments of exposed adobe bricks; mud plaster by hand and trowel; plasters made with stabilized mud, lime, gypsum, cement and elastomerics. Wall insulation, vapor barriers, moisture protection, and the lath systems will be examined. The treatment of vigas, posts, corbels, exposed lintels and wood trim are also covered.",Other,undergraduate,False,False,False,False,False,True
unm,2026,2026-2027,ADOB,1122,Rammed Earth Construction,"An introduction to rammed earth construction techniques from around the world. This course examines various rammed earth construction methods including the use of small and large forms and manual and engine power. Topics also include the design of rammed earth walls that accommodate windows, doors, electrical, plumbing and heating ventilation and air conditioning (HVAC) systems.",Other,undergraduate,False,False,False,False,False,True
unm,2026,2026-2027,ADOB,1123,Compressed Earth Block Construction,"An introduction to compressed earth block (CEB) and stabilized compressed earth block (SCEB) construction techniques from around the world. This course examines various compressed earth block manufacturing methods, including the use of small and large forming chambers and manual and engine power as well as block stabilization techniques. Topics also include the design of compressed earth block walls that accommodate windows, door and utilities.",Other,undergraduate,False,False,False,False,False,True
unm,2026,2026-2027,ACCT,2110,Principles of Accounting I,"An introduction to financial accounting concepts emphasizing the analysis of business transactions in accordance with generally accepted accounting principles (GAAP), the effect of these transactions on the financial statements, financial analysis, and the interrelationships of the financial statements.",Professional,undergraduate,False,False,False,False,False,True
unm,2026,2026-2027,ACCT,2110X,Principles of Accounting IA,"An introduction to financial accounting concepts emphasizing the analysis of business transactions in accordance with generally accepted accounting principles (GAAP), the effect of these transactions on the financial statements, financial analysis, and the interrelationships of the financial statements.",Professional,undergraduate,False,False,False,False,False,True
