university,academic_year,academic_year_label,department_code,course_number,title,description,broad_area,level,progressive_signal,western_canon_signal,climate_narrow_signal,climate_broad_signal,cross_listed,deduplicated
uoregon,2026,2026-2027,AAAP,199,Special Studies: [Topic].  1-5 Credits.,Experimental course - topic varies. Repeatable 99 times,Other,undergraduate,False,False,False,False,False,True
uoregon,2026,2026-2027,AAAP,404,Internship: [Topic].  1-12 Credits.,Professional practice in an organization that integrates concepts studied at the university with career-related work experience. Repeatable 99 times,Other,undergraduate,False,False,False,False,False,True
uoregon,2026,2026-2027,AAAP,405,Special Problems: [Topic].  1-12 Credits.,Specialized inquiry into a particular topic by a student and discussed with a faculty member. Repeatable 99 times when topic changes,Other,undergraduate,False,False,False,False,False,True
uoregon,2026,2026-2027,AAAP,406,Practicum: [Topic].  1-12 Credits.,A series of clinical experiences under academic supervision designed to integrate theory and principles with practice. Repeatable 99 times,Other,undergraduate,False,False,False,False,False,True
uoregon,2026,2026-2027,AAAP,407,Seminar: [Topic].  1-5 Credits.,"A small group of students studying a subject with a faculty member. Although practices vary, students may do original research and exchange results through informal lectures, reports, and discussions. Repeatable 99 times",Other,undergraduate,False,False,False,False,False,True
uoregon,2026,2026-2027,AAAP,408,Workshop: [Topic].  1-5 Credits.,"An intensive experience, limited in scope and time, in which a group of students focus on skills development rather than content mastery. Repeatable 5 times",Other,undergraduate,False,False,False,False,False,True
uoregon,2026,2026-2027,AAAP,410,Experimental Course: [Topic].  1-5 Credits.,"Current topics are American Building Construction, American Architecture from a Preservation Perspective, Research Methods. Repeatable 99 times",Other,undergraduate,False,False,False,False,False,True
uoregon,2026,2026-2027,AAAP,411,Introduction to Historic Preservation,"History, evolution, modern concepts, and professional techniques of historic preservation.",Other,undergraduate,False,False,False,False,False,True
uoregon,2026,2026-2027,AAAP,415,Transportation and Preservation,Addresses compliance issues with preservation laws relating to transportation development. Includes understanding processes and negotiating needs of the resource with the needs of transportation authorities.,Other,undergraduate,False,False,False,False,False,True
uoregon,2026,2026-2027,AAAP,421,American Architecture from a Preservation Perspective I,"American built environment from the colonial era to the federal period. Stylistic development and building analysis for preservation; cultural, historical, and physical contexts within building forms.",Other,undergraduate,True,False,False,False,False,True
uoregon,2026,2026-2027,AAAP,422,American Architecture from a Preservation Perspective II,"American built environment from the federal period to 1893. Stylistic development and building analysis for preservation; cultural, historical, and physical contexts within building forms.",Other,undergraduate,False,False,False,False,False,True
uoregon,2026,2026-2027,AAAP,423,American Architecture from a Preservation Perspective III,"American built environment from 1893 to the present. Stylistic development and building analysis for preservation; cultural, historical, and physical contexts within building forms.",Other,undergraduate,False,False,False,False,False,True
uoregon,2026,2026-2027,AAAP,424,Vernacular Architecture,"Examines the characteristics and origins of vernacular building types and explores the cultural meanings of these sites, particularly in light of contemporary ideas about socioeconomic issues.",Other,undergraduate,False,False,False,False,False,True
uoregon,2026,2026-2027,AAAP,431,National Register Nomination,"Provides an overview of the National Register of Historic Places (NRHP) and the processes for documenting, evaluating, and nominating properties to the register. Requisites: Prereq: AAAP 411 .",Other,undergraduate,False,False,False,False,False,True
uoregon,2026,2026-2027,AAAP,438,Building Pathology: [Topic],Examines the scientific fundamentals of material properties in building construction and the application of that knowledge to the preservation of historic buildings. Repeatable 2 times for a maximum of 12 credits when topic changes,Other,undergraduate,False,False,False,False,False,True
uoregon,2026,2026-2027,AAAP,441,Legal Issues in Historic Preservation,"Examines constitutional, statutory, and common law affecting historic preservation. Covers First Amendment, eminent domain, due process, police powers, regulatory ""takings,"" and aesthetic zoning.",Other,undergraduate,False,False,False,False,False,True
