university,academic_year,academic_year_label,department_code,course_number,title,description,broad_area,level,progressive_signal,western_canon_signal,climate_narrow_signal,climate_broad_signal,cross_listed,deduplicated
uta,2026,2026-2027,ACCT,2301,PRINCIPLES OF ACCOUNTING I,"The accounting process and its informational output. Financial accounting concepts, basic procedures, and the resulting reports. Recognition and creation of accounting information as bases for decisions. An accounting lab is required. The grade for this course requires the completion of both the lecture component and the accounting lab. Prerequisite: 30 credit hours or permission of the department.",Professional,undergraduate,False,False,False,False,False,True
uta,2026,2026-2027,ACCT,2302,PRINCIPLES OF ACCOUNTING II,"A study of managerial accounting concepts and techniques. Topics include cost behavior, budgeting, responsibility accounting, and product costing. An accounting lab is required. The grade for this course requires the completion of both the lecture component and the accounting lab. Prerequisite: ACCT 2301 with a grade of C or higher.",Professional,undergraduate,False,False,False,False,False,True
uta,2026,2026-2027,ACCT,2303,ACCOUNTING AND COMPLIANCE OF NON-PROFIT ORGANIZATIONS,"The primary objective of this course is to help students understand accounting theories and compliance issues that relate to non-profit and philanthropic organizations.  The course introduces students to general accounting theories, budgeting, internal control, fraud, and compliance issues of non-profit organizations.  Restriction: Students enrolled in this course cannot be accounting majors. Prerequisite: Students enrolled in this course cannot be accounting majors, 30 credit hours.",Professional,undergraduate,False,False,False,False,False,True
uta,2026,2026-2027,ACCT,3133,PROFESSIONALISM IN ACCOUNTING,"Topics to engender a stronger sense of professionalism: business and social etiquette, self-assessment, professional deportment, networking, effective communication skills, and dressing professionally. Topics primarily presented by accomplished professionals from public accounting, industry, and government. Prerequisites: Accounting major and ACCT 3311 , can be taken concurrently.",Professional,undergraduate,True,False,False,False,False,True
uta,2026,2026-2027,ACCT,3303,INTRODUCTION TO ACCOUNTING INFORMATION SYSTEMS,"The structure of contemporary accounting systems with emphasis on controls, auditing, reporting, and efficient operation. Prerequisite: ACCT 2302 and INSY 2303 with grades of C or higher.",Professional,undergraduate,False,False,False,False,False,True
uta,2026,2026-2027,ACCT,3308,FINANCIAL STATEMENT ANALYSIS FOR BANKING,"The environment of accounting, development of standards, basic theory, financial statements, worksheets with a particular focus on the application of accounting topics of Intermediate Accounting to banking institutions. Prerequisite: ACCT 2301 with a grade of C or higher. Credit will not be received for both ACCT 3311 and ACCT 3308 .",Professional,undergraduate,False,False,False,False,False,True
uta,2026,2026-2027,ACCT,3309,ACCOUNTING FOR MANAGERS,"Planning, controlling, decision making, and performance evaluation. Uses a variety of teaching techniques (e.g., problems, cases, and projects) and is open only to non-accounting majors. Credit will not be given for both this course and ACCT 4302 . Prerequisite: ACCT 2302 with a grade of C or higher.",Professional,undergraduate,False,False,False,False,False,True
uta,2026,2026-2027,ACCT,3311,FINANCIAL ACCOUNTING I,"The environment of accounting, development of standards, basic theory, financial statements, worksheets, annuities and present value, receivables, inventories, liabilities, plant assets, depreciation and depletion, and intangible assets. Prerequisite: ACCT 2301 with a grade of C or higher and successful completion of basic accounting skills exam. (See the departmental website for details about the exam.).",Professional,undergraduate,False,False,False,False,False,True
uta,2026,2026-2027,ACCT,3312,FINANCIAL ACCOUNTING II,"Stockholders' equity, earnings per share, investments in bonds and stocks, equity method, revenue recognition, accounting changes, error analysis, income taxes, leases, and cash flows. Prerequisite: ACCT 3311 with a grade of C or higher.",Professional,undergraduate,True,False,False,False,False,True
uta,2026,2026-2027,ACCT,3315,PRINCIPLES OF FEDERAL INCOME TAX,"A study of general federal income tax principles such as income, deductions, losses, and property transactions. Emphasis is placed on the taxation of individuals as well as on an understanding of property transactions which apply to individuals and other entities. Prerequisite: Accounting major with junior standing and ACCT 3311 with a grade of C or higher.",Professional,undergraduate,False,False,False,False,False,True
uta,2026,2026-2027,ACCT,3316,DATA ANALYTICS FOR ACCOUNTING,"Businesses use data analytics to evaluate organizational data and improve business decisions. The ability to collect, analyze, and use data to provide information for better decisions is a critical skill for accounting professionals.  This course will introduce students to the growing role of analytics to answer business questions. Students will analyze data to solve problems frequently encountered in accounting. This course will also introduce students to basic statistical techniques used to analyze specific accounting related business problems. Prerequisite: ACCT 2302 with a C or better.",Professional,undergraduate,False,False,False,False,False,True
uta,2026,2026-2027,ACCT,4191,STUDIES IN ACCOUNTING,"Advanced studies, on an individual basis, in the various fields of accounting. Prerequisite: Senior standing and permission of instructor. May be repeated for credit with consent of department chair.",Professional,undergraduate,False,False,False,False,False,True
uta,2026,2026-2027,ACCT,4193,ACCOUNTING INTERNSHIP,Practical training in accounting.  Analysis of theory applied to real life situations.  Graded on a pass/fail basis.  No credit will be given for previous experience or activities. Prerequisite: ACCT 4393 and accounting major with junior standing and consent of department internship advisor.,Professional,undergraduate,False,False,False,False,False,True
uta,2026,2026-2027,ACCT,4291,STUDIES IN ACCOUNTING,"Advanced studies, on an individual basis, in the various fields of accounting. Prerequisite: Senior standing and permission of instructor. May be repeated for credit with consent of department chair.",Professional,undergraduate,False,False,False,False,False,True
uta,2026,2026-2027,ACCT,4302,COST ANALYSIS AND DECISION MAKING,"This course will cover advanced cost analysis concepts including Cost-Volume-Profit analysis, cost-benefit analysis, product and service costing, pricing and budgeting.  Class discussions will integrate concepts and applications of cost analysis with corporate practice through use of analytical problem solving, real world examples and case analyses. Prerequisite: Accounting major with 60 credit hours and ACCT 3303 with a grade of C or higher.",Professional,undergraduate,False,False,False,False,False,True
