university,academic_year,academic_year_label,department_code,course_number,title,description,broad_area,level,progressive_signal,western_canon_signal,climate_narrow_signal,climate_broad_signal,cross_listed,deduplicated
utah,2027,2026-2027,ACCTG,2011,ACCTG 2011,,Professional,graduate,False,False,False,False,False,True
utah,2027,2026-2027,ACCTG,2020,ACCTG 2020,,Professional,graduate,False,False,False,False,False,True
utah,2027,2026-2027,ACCTG,2100,ACCTG 2100,,Professional,graduate,False,False,False,False,False,True
utah,2027,2026-2027,ACCTG,2600,ACCTG 2600,,Professional,graduate,False,False,False,False,False,True
utah,2027,2026-2027,ACCTG,2611,ACCTG 2611,,Professional,graduate,False,False,False,False,False,True
utah,2027,2026-2027,ACCTG,2620,ACCTG 2620,,Professional,graduate,False,False,False,False,False,True
utah,2027,2026-2027,ACCTG,3000,ACCTG 3000,,Professional,graduate,False,False,False,False,False,True
utah,2027,2026-2027,ACCTG,3100,ACCTG 3100,,Professional,graduate,False,False,False,False,False,True
utah,2027,2026-2027,ACCTG,3410,ACCTG 3410,,Professional,graduate,False,False,False,False,False,True
utah,2027,2026-2027,ACCTG,3600,ACCTG 3600,,Professional,graduate,False,False,False,False,False,True
utah,2027,2026-2027,ACCTG,3601,ACCTG 3601,,Professional,graduate,False,False,False,False,False,True
utah,2027,2026-2027,ACCTG,3615,ACCTG 3615,,Professional,graduate,False,False,False,False,False,True
utah,2027,2026-2027,ACCTG,4110,ACCTG 4110,,Professional,graduate,False,False,False,False,False,True
utah,2027,2026-2027,ACCTG,4999,ACCTG 4999,,Professional,graduate,False,False,False,False,False,True
utah,2027,2026-2027,ACCTG,5000,ACCTG 5000,,Professional,graduate,False,False,False,False,False,True
utah,2027,2026-2027,ACCTG,5010,ACCTG 5010,,Professional,graduate,False,False,False,False,False,True
utah,2027,2026-2027,ACCTG,5050,ACCTG 5050,,Professional,graduate,False,False,False,False,False,True
utah,2027,2026-2027,ACCTG,5110,ACCTG 5110,,Professional,graduate,False,False,False,False,False,True
utah,2027,2026-2027,ACCTG,5120,ACCTG 5120,,Professional,graduate,False,False,False,False,False,True
utah,2027,2026-2027,ACCTG,5130,ACCTG 5130,,Professional,graduate,False,False,False,False,False,True
utah,2027,2026-2027,ACCTG,5140,ACCTG 5140,,Professional,graduate,False,False,False,False,False,True
utah,2027,2026-2027,ACCTG,5150,ACCTG 5150,,Professional,graduate,False,False,False,False,False,True
