university,academic_year,academic_year_label,department_code,course_number,title,description,broad_area,level,progressive_signal,western_canon_signal,climate_narrow_signal,climate_broad_signal,cross_listed,deduplicated
utd,2026,2026-2027,ACCT,6009,Accounting Internship,"Student gains experience and improves skills through appropriate developmental work assignments in a real business environment. Student must identify and submit specific business learning objectives at the beginning of the semester. The student must demonstrate exposure to the managerial perspective via involvement or observation. At semester end, student prepares an oral or poster presentation, or a written paper reflecting on the work experience. Student performance is evaluated by the work supervisor. Pass/Fail only. Prerequisites: ( MAS 6102 or ACCT 6388 or MBA major) and department consent required. (0-0) S",Professional,graduate,False,False,False,False,False,True
utd,2026,2026-2027,ACCT,6194,Professional Accounting - Business,This course is designed to help students prepare for careers in professional accounting and professional examinations. Prerequisite: ACCT 6331 or an undergraduate degree in Accounting and adequate foundation/academic performance in a corresponding area. (1-0) R,Professional,graduate,False,False,False,False,False,True
utd,2026,2026-2027,ACCT,6195,Professional Accounting Practicum,"Practicum course focused on preparation for the Certified Public Accountant Exam. Course will review testing strategies, enhance application skills, and supplement various exam topics through the use of in-class quizzes and problem-solving activities. Department consent required. Corequisite: ACCT 6194 or ACCT 6291 or ACCT 6292 . (1-0) R",Professional,graduate,False,False,False,False,False,True
utd,2026,2026-2027,ACCT,6202,Accounting for Managerial Decision Making and Control,"This course presents a framework to identify, measure, analyze, interpret, and communicate information in pursuit of an organization's goals by managing resources, activities, and people effectively and efficiently. In particular, the course discusses various managerial accounting and cost management practices that can be strategically applied across various business functions of an organization to improve organizational performance. This course cannot be used for MS Accounting degree credit. (2-0) S",Professional,graduate,False,False,False,False,False,True
utd,2026,2026-2027,ACCT,6291,Professional Accounting - Financial,This course is designed to help students prepare for careers in professional accounting and professional examinations. Prerequisites: ( ACCT 6330 and ACCT 6332 ) or an undergraduate degree in Accounting and adequate foundation/academic performance in a corresponding area. (2-0) Y,Professional,graduate,False,False,False,False,False,True
utd,2026,2026-2027,ACCT,6292,Professional Accounting - Audit,"This course is designed to help students prepare for careers in professional accounting and professional examinations. Prerequisites: ( ACCT 6334 or an undergraduate degree in Accounting and adequate foundation/academic performance in a corresponding area), and ACCT 6335 . (2-0) R",Professional,graduate,False,False,False,False,False,True
utd,2026,2026-2027,ACCT,6293,Professional Accounting - Regulation,This course is designed to help students prepare for careers in professional accounting and professional examinations. Prerequisite: ACCT 6350 or an undergraduate degree in Accounting and adequate foundation/academic performance in a corresponding area. (2-0) R,Professional,graduate,False,False,False,False,False,True
utd,2026,2026-2027,ACCT,6301,Financial Accounting,"This course focuses on the development, analysis and use of the information contained in financial statements. It discusses what the financial statements contain, what assumptions and concepts accountants use to prepare them, and why they use those assumptions and concepts. May not be used to fulfill degree requirements in MS Accounting program. (3-0) S",Professional,graduate,False,False,False,False,False,True
utd,2026,2026-2027,ACCT,6305,Accounting for Managers,"( SYSM 6337 ) Fundamental concepts in accounting and financial reporting are presented from the perspective of business managers. May not be used to fulfill degree requirements in MS Accounting. Credit cannot be received for both courses, ( ACCT 6301 or ACCT 6202 ) and ACCT 6305 . (3-0) S",Professional,graduate,False,False,False,False,False,True
utd,2026,2026-2027,ACCT,6309,Business Data Warehousing,"( MIS 6309 ) Provides in-depth knowledge of data warehousing principles, data warehouse techniques, and business intelligence systems. Discusses the topics of data warehouse design, Extract-Transform-Load (ETL), data cubes, and data marts. Will create business intelligence using data warehouses with several OLAP and analytical tools. SAP, Business Objects, Cognos, or other data warehousing tools will be used to illustrate data warehousing concepts. (3-0) S",Professional,graduate,False,False,False,False,False,True
