university,academic_year,academic_year_label,department_code,course_number,title,description,broad_area,level,progressive_signal,western_canon_signal,climate_narrow_signal,climate_broad_signal,cross_listed,deduplicated
utsa,2026,2026-2027,AIS,1203,Academic Introduction and Strategies,"Academic Introduction and Strategies is designed to orient first-year college students to the fields of study within an academic pathway. This course develops critical thinking, communication, social responsibility, and leadership skills. This course also provides an opportunity for students to better understand the core values, cultures, and assumptions within fields of study through involvement in a signature experience within an academic pathway. This course may be applied toward the First Year Experience Core Curriculum requirement. ( AIS 1203 , AIS 1213 , AIS 1223 , AIS 1233 , AIS 1243 , AIS 1253 , AIS 1263 , AIS 1273 , and AIS 1283 are equivalent. Credit cannot be earned for more than one of these courses.) Generally offered: Fall. Generally Scheduled Location: Main Campus, Online/Internet.  Course Fee: DL01 $75; LRC1 $12; LRU1 $37.50.",Humanities,undergraduate,False,False,False,False,False,True
utsa,2026,2026-2027,AIS,1213,"AIS: Architecture, Construction, and Planning","Academic Introduction and Strategies is designed to orient first-year college students to the fields of study related to architecture, construction, and interior design. This course develops critical thinking, communication, social responsibility, and leadership skills. This course also provides an opportunity for students to better understand the core values, cultures, and assumptions within fields of study through involvement in a signature experience. This course may be applied toward the First Year Experience Core Curriculum requirement. ( AIS 1203 , AIS 1213 , AIS 1223 , AIS 1233 , AIS 1243 , AIS 1253 , AIS 1263 , AIS 1273 , and AIS 1283 are equivalent. Credit cannot be earned for more than one of these courses.)  Course Fee: LRC1 $12; LRU1 $37.5.",Humanities,undergraduate,False,False,False,False,False,True
utsa,2026,2026-2027,AIS,1223,AIS: Arts and Humanities,"Academic Introduction and Strategies is designed to orient first-year college students to the fields of study related to arts and humanities. This course develops critical thinking, communication, social responsibility, and leadership skills. This course also provides an opportunity for students to better understand the core values, cultures, and assumptions within fields of study through involvement in a signature experience. This course may be applied toward the First Year Experience Core Curriculum requirement. ( AIS 1203 , AIS 1213 , AIS 1223 , AIS 1233 , AIS 1243 , AIS 1253 , AIS 1263 , AIS 1273 , and AIS 1283 are equivalent. Credit cannot be earned for more than one of these courses.)  Course Fee: LRC1 $12; LRU1 $37.50; DL01 $75.",Humanities,undergraduate,False,False,False,False,False,True
utsa,2026,2026-2027,AIS,1233,AIS: Business,"Academic Introduction and Strategies is designed to orient first-year college students to the fields of study related to business. This course develops critical thinking, communication, social responsibility, and leadership skills. This course also provides an opportunity for students to better understand the core values, cultures, and assumptions within fields of study through involvement in a signature experience. ( AIS 1203 , AIS 1213 , AIS 1223 , AIS 1233 , AIS 1243 , AIS 1253 , AIS 1263 , AIS 1273 , and AIS 1283 are equivalent. Credit cannot be earned for more than one of these courses.) This course may be applied toward the First Year Experience Core Curriculum requirement. Generally Scheduled Location: Main Campus, Internet.  Course Fee: LRC1 $12; LRU1 $37.50; DL01 $75.",Humanities,undergraduate,False,False,False,False,False,True
utsa,2026,2026-2027,AIS,1243,"AIS: Engineering, Mathematics, and Sciences","Academic Introduction and Strategies is designed to orient first-year college students to the fields of study related to engineering, mathematics, and physical science. This course develops critical thinking, communication, social responsibility, and leadership skills. This course also provides an opportunity for students to better understand the core values, cultures, and assumptions within fields of study through involvement in a signature experience. ( AIS 1203 , AIS 1213 , AIS 1223 , AIS 1233 , AIS 1243 , AIS 1253 , AIS 1263 , AIS 1273 , and AIS 1283 are equivalent. Credit cannot be earned for more than one of these courses.) This course may be applied toward the First Year Experience Core Curriculum requirement. Generally Scheduled Location: Main Campus.  Course Fee: LRC1 $12; LRU1 $37.50; DL01 $75.",Humanities,undergraduate,False,False,False,False,False,True
utsa,2026,2026-2027,AIS,1253,AIS: Interdisciplinary Education,"Academic Introduction and Strategies is designed to orient first-year college students to the fields of study related to education. This course develops critical thinking, communication, social responsibility, and leadership skills. This course also provides an opportunity for students to better understand the core values, cultures, and assumptions within fields of study through involvement in a signature experience. This course may be applied toward the First Year Experience Core Curriculum requirement. ( AIS 1203 , AIS 1213 , AIS 1223 , AIS 1233 , AIS 1243 , AIS 1253 , AIS 1263 , AIS 1273 , and AIS 1283 are equivalent. Credit cannot be earned for more than one of these courses.)  Course Fee: LRC1 $12; LRU1 $37.50; DL01 $75.",Humanities,undergraduate,False,False,False,False,False,True
utsa,2026,2026-2027,AIS,1263,AIS: Life and Health Sciences,"Academic Introduction and Strategies is designed to orient first-year college students to the fields of study related to life and health sciences. This course develops critical thinking, communication, social responsibility, and leadership skills. This course also provides an opportunity for students to better understand the core values, cultures, and assumptions within fields of study through involvement in a signature experience. ( AIS 1203 , AIS 1213 , AIS 1223 , AIS 1233 , AIS 1243 , AIS 1253 , AIS 1263 , AIS 1273 , and AIS 1283 are equivalent. Credit cannot be earned for more than one of these courses.) This course may be applied toward the First Year Experience Core Curriculum requirement. Generally Scheduled Location: Main Campus, Internet.  Course Fee: LRC1 $12; LRU1 $37.50; DL01 $75.",Humanities,undergraduate,False,False,False,False,False,True
utsa,2026,2026-2027,AIS,1273,AIS: Social Sciences and Public Policy,"Academic Introduction and Strategies is designed to orient first-year college students to the fields of study related to social science and public policy. This course develops critical thinking, communication, social responsibility, and leadership skills. This course also provides an opportunity for students to better understand the core values, cultures, and assumptions within fields of study through involvement in a signature experience. ( AIS 1203 , AIS 1213 , AIS 1223 , AIS 1233 , AIS 1243 , AIS 1253 , AIS 1263 , AIS 1273 , and AIS 1283 are equivalent. Credit cannot be earned for more than one of these courses.) This course may be applied toward the First Year Experience Core Curriculum requirement. Generally Scheduled Location: Main Campus, Internet.  Course Fee: LRC1 $12; LRU1 $37.50; DL01 $75.",Humanities,undergraduate,False,False,False,False,False,True
utsa,2026,2026-2027,AIS,1283,AIS: Academic and Career Foundations,"Prerequisite: Consent of Instructor. This course is designed for students continuing their academic journey at UT San Antonio with prior college experience. It supports a successful transition into the university by fostering academic engagement, career readiness, and connection to a chosen academic pathway. Students will examine the values, expectations, and cultures within their fields of study while strengthening skills in critical thinking, communication, and leadership. A pathway-aligned signature experience provides the opportunity to integrate past learning with future academic and professional goals. This course may be applied toward the First Year Experience Core Curriculum requirement. ( AIS 1203 , AIS 1213 , AIS 1223 , AIS 1233 , AIS 1243 , AIS 1253 , AIS 1263 , AIS 1273 , and AIS 1283 are equivalent. Credit cannot be earned for more than one of these courses.) Generally offered: Fall.  Course Fee: DL01 $75; LRC1 $12; LRU1 $37.50.",Humanities,undergraduate,False,False,False,False,False,True
utsa,2026,2026-2027,AIS,2913,Independent Study: Advanced Academic Introduction and Strategies,"Prerequisite: AIS 1203 or equivalent. Independent reading, research, and writing under the direction of a faculty member. Intensive coverage of the fields of study within an academic pathway and fulfillment of signature experience. May be repeated for credit, but not more than 6 semester credit hours of independent study, regardless of discipline, will apply to a bachelor's degree.  Course Fees: LRU1 $37.50; DL01 $75.",Humanities,undergraduate,False,False,False,False,False,True
utsa,2026,2026-2027,ACC,2003,Foundations of Accounting,"A study of accounting as the language of business. The focus is on the use of accounting information for decision making. This course is designed for nonbusiness majors and cannot be applied toward a degree in the Carlos Alvarez College of Business. Generally offered: Fall, Spring. Course Fees: BISP $10; BTSI $15.41; DL01 $75; LRB1 $15.41.",Professional,undergraduate,False,False,False,False,False,True
utsa,2026,2026-2027,ACC,2013,Principles of Accounting I,"An introduction to business external financial reporting designed to create an awareness of the accounting concepts and principles used in preparing the three basic financial statements: the income statement, balance sheet, and statement of cash flow. The course is designed for all business students, whether future users or preparers of accounting information. Generally offered: Fall, Spring, Summer. Generally Scheduled Location: Main Campus, Online/Internet.  Course Fee: BISP $10; BTSI $15.41; DL01 $75; LRB1 $15.41.",Professional,undergraduate,False,False,False,False,False,True
utsa,2026,2026-2027,ACC,2033,Principles of Accounting II,"Prerequisite: ACC 2013 .
An introduction to the determination, development, and uses of internal accounting information needed by business management to satisfy customers while controlling and containing costs. The course is designed for all business students, whether future users or preparers of accounting information.
Generally offered: Fall, Spring, Summer. Generally Scheduled Location: Main Campus, Online/Internet. Course Fees: BISP $10; BTSI $15.41; DL01 $75; LRB1 $15.41.",Professional,undergraduate,False,False,False,False,False,True
utsa,2026,2026-2027,ACC,3023,Intermediate Accounting I,"Prerequisites: A grade of ""C-"" or better in both ACC 2013 and ACC 2033 , successful completion of the Principles of Accounting Competency Exam (refer to Department of Accounting website), and declared major in the Carlos Alvarez College of Business.
An in-depth study of promulgated accounting theory and concepts with an emphasis on corporate financial accounting and reporting, with a focus on U.S. GAAP, and exposure to International Financial Reporting Standards (IFRS).
Generally offered: Fall, Spring, Summer. This course has Differential Tuition. Course fee: DL01 $75.",Professional,undergraduate,False,False,False,False,False,True
utsa,2026,2026-2027,ACC,3033,Intermediate Accounting II,"Prerequisite: A grade of ""C-"" or better in ACC 3023 and declared major in the Carlos Alvarez College of Business. A continuation of the in-depth study of promulgated accounting theory and concepts with an emphasis on corporate financial accounting and reporting, with a focus on U.S. GAAP, and exposure to International Financial Reporting Standards (IFRS). Generally offered: Fall, Spring, Summer. This course has Differential Tuition.  Course Fee: DL01 $75.",Professional,undergraduate,False,False,False,False,False,True
utsa,2026,2026-2027,ACC,3043,Federal Income Taxation,"Prerequisite: A grade of ""C-"" or better in ACC 3023 or ACC 3053 and declared major in Carlos Alvarez College of Business. A conceptual introduction to the U.S. federal income tax system. Concepts include gross income, statutory deductions, property transactions, and computation of tax liabilities. Generally offered: Fall, Spring, Summer. This course has Differential Tuition.  Course Fee: DL01 $75.",Professional,undergraduate,False,False,False,False,False,True
utsa,2026,2026-2027,ACC,3053,Intermediate Accounting for Finance Majors,"Prerequisites: A grade of ""C-"" or better in ACC 2013 and ACC 2033 .
An intermediate accounting course with emphasis on interpretation of general-purpose financial statements and the related disclosure notes as they apply to credit analysis and other aspects of corporate finance. Common and significant accounts/transactions will be analyzed, especially those relating to the financing and equity sections of the financial statements.  This course cannot be applied toward an accounting major.  This course does not satisfy any of the educational requirements of the Texas State Board of Public Accountancy for qualification to sit for the Uniform Certified Public Accounting Examination. This course has Differential Tuition. Course fee: DL01 $75.",Professional,undergraduate,True,False,False,False,False,True
utsa,2026,2026-2027,ACC,3071,Professional Issues and Topics in Accounting I,"Prerequisite: A grade of ""C-"" or better in ACC 2013 and ACC 2033 and completion of or concurrent enrollment in ACC 3023 .  A study of accounting practice, professionalism, certification, deportment, research, discussion, writing, and presentation. Will apply to a bachelor’s degree. Will not count toward hours required to qualify for the CPA examination. This course has Differential Tuition.",Professional,undergraduate,False,False,False,False,False,True
utsa,2026,2026-2027,ACC,3081,Professional Issues and Topics in Accounting II,"Prerequisite: A grade of  ""C-"" or better in ACC 3071 . An advanced study of accounting practice, professionalism, certification, deportment, research, discussion, writing, and presentation. Will apply to a bachelor’s degree. Will not count toward hours required to qualify for the CPA examination. This course has Differential Tuition.",Professional,undergraduate,False,False,False,False,False,True
utsa,2026,2026-2027,ACC,3113,Accounting Information Systems,"Prerequisite: A grade of ""C-"" or better in ACC 2033 , and Microsoft Office Specialist Certification in Excel or a grade of ""C-"" or better in either ISC 3003 or ISC 1413 (or equivalent), and declared major in the Carlos Alvarez College of Business. A study of database management systems as they relate to the accounting function. Topics include database design and applications that focus on accounting, including the entity-relationship model, data modeling, object-oriented design, and database management. Generally offered: Fall, Spring, Summer. This course has Differential Tuition.  Course Fee: DL01 $75.",Professional,undergraduate,False,False,False,False,False,True
utsa,2026,2026-2027,ACC,3123,Cost Analysis,"Prerequisite: A grade of ""C-"" or better in ACC 2033 and declared major in the Carlos Alvarez College of Business. A study of internal accounting information generation with an emphasis on cost accounting tools to develop, implement, and evaluate strategy; cost accounting methods to determine product cost; and cost management concepts and procedures for making business decisions. Generally offered: Fall, Spring, Summer. This course has Differential Tuition.  Course Fee: DL01 $75.",Professional,undergraduate,False,False,False,False,False,True
utsa,2026,2026-2027,ACC,3163,Quantitative Analysis for Accountants,"Prerequisite: ACC 3113 with a grade of ""C-"" or better and declared major in the Carlos Alvarez College of Business. This course will provide a hands-on introduction to data analysis, summarizing and reporting tools, and data manipulation and search functions used by accountants. This is an application-oriented course that will provide students with  a knowledge of the most commonly used techniques to successfully analyze, interpret, forecast, and present accounting data for improved decision making. Big data analysis will also be covered. This course may not be repeated for credit. Generally offered: Fall, Spring, and Summer. This course has Differential Tuition.  Course Fee: DL01 $75.",Professional,undergraduate,False,False,False,False,False,True
utsa,2026,2026-2027,ACC,4013,Principles of Auditing,"Prerequisite: A grade of ""C-"" or better in both ACC 3033 and ACC 3113 , and declared major in the Carlos Alvarez College of Business.  A study of the topic of auditing oriented primarily toward the financial auditing standpoint. The course focuses on the concepts and procedures of auditing applied to the audit of financial statements in accordance with the standards established by the Auditing Standards Board or the Public Company Accounting Oversight Board. Topics also covered include professional ethics, accounting and review services, and the public accounting profession. Generally offered: Fall, Spring, Summer. This course has Differential Tuition.  Course Fee: DL01 $75.",Professional,undergraduate,False,False,False,False,False,True
utsa,2026,2026-2027,ACC,4091,Professional Issues and Topics in Accounting III,"Prerequisites: A grade of “C-“ or better in ACC 3081 .
An applied study of accounting practice, professionalism, certification, deportment, research, discussion, writing, and presentation. Will apply to a bachelor’s degree. Will not count toward hours required to qualify for the CPA examination. This course has Differential Tuition.",Professional,undergraduate,False,False,False,False,False,True
utsa,2026,2026-2027,ACC,4163,Contemporary Issues in Accounting Practice,"Prerequisite: A grade of ""C-"" or better in ACC 3033 and ACC 3043 , and a declared major in the Carlos Alvarez College of Business. A study of contemporary accounting topics and professional accounting research using the Accounting Standards Codification.  Generally offered: Fall, Spring, Summer. This course has Differential Tuition.",Professional,undergraduate,False,False,False,False,False,True
utsa,2026,2026-2027,ACC,4911,Independent Study,"Prerequisite: A 3.0 Carlos Alvarez College of Business grade point average and permission in writing from the instructor, the Department Chair, and the Dean of the Carlos Alvarez College of Business. Independent reading, research, discussion, and/or writing under the direction of a faculty member. May be repeated for credit, but not more than 6 semester credit hours of independent study, regardless of discipline, will apply to a bachelor’s degree. This course has Differential Tuition.  Course Fee: BISP $10; BTSI $15.41.",Professional,undergraduate,False,False,False,False,False,True
utsa,2026,2026-2027,ACC,4913,Independent Study,"Prerequisite: A 3.0 Carlos Alvarez College of Business grade point average, and permission in writing from the instructor, the Department Chair, and the Dean of the Carlos Alvarez College of Business. Independent reading, research, discussion, and/or writing under the direction of a faculty member. May be repeated for credit, but not more than 6 semester credit hours of independent study, regardless of discipline, will apply to a bachelor’s degree. This course has Differential Tuition.",Professional,undergraduate,False,False,False,False,False,True
utsa,2026,2026-2027,ACC,4933,Internship in Accounting,"Prerequisite: 9 semester credit hours of upper-division accounting courses including ACC 3023 , a 3.0 university grade point average, a 3.0 grade point average in upper-division accounting courses, and permission in writing from the instructor, the Department Chair, and the Dean of the Carlos Alvarez College of Business; see academic advisor for required forms. Provides students with on-the-job training in public, industry, not-for-profit, or governmental accounting units. A written report is required. ACC 4933 may be completed only once for undergraduate degree credit. Generally offered: Fall, Spring. This course has Differential Tuition.",Professional,undergraduate,False,False,False,False,False,True
