university,academic_year,academic_year_label,department_code,course_number,title,description,broad_area,level,progressive_signal,western_canon_signal,climate_narrow_signal,climate_broad_signal,cross_listed,deduplicated
uvu,2026,2026-2027,ACC,1110,Financial Accounting I,"Prerequisite(s): Department approval This concurrent enrollment course is taught only in high schools for high school students. It is not offered on campus to university students. Introduces students to fundamental financial accounting concepts within a sole proprietorship. Emphasizes understanding the accounting equation, analyzing business transactions, and applying double-entry accounting principles. Guides students through journalizing entries, posting to ledgers, preparing end-of-period financial statements, and completing closing entries.",Professional,graduate,False,False,False,False,False,True
uvu,2026,2026-2027,ACC,1120,Financial Accounting II,"Prerequisite(s): ACC 1110 and departmental approval This concurrent enrollment course is taught only in high schools for high school students. It is not offered on campus to university students. Introduces students to fundamental financial accounting concepts related to merchandising businesses. Builds skills in preparing and journalizing payroll records, calculating and recording adjusting entries, and interpreting financial statements. Applies accounting principles through hands-on use of accounting software to reinforce real-world understanding.",Professional,graduate,False,False,False,False,False,True
uvu,2026,2026-2027,ACC,2110,Principles of Accounting I,"Prerequisite(s): Recommended: ENGL 1010 or ENGL 1005 and MAT 1010 or higher Teaches basic accounting methods and tools for business decision making. Incorporates financial and managerial accounting to provide basic understanding of generally accepted accounting principles (GAAP). Applies analytical tools to assess profitability, relevant costs, and investment decisions.",Professional,graduate,False,False,False,False,False,True
uvu,2026,2026-2027,ACC,2115,Introduction to the Accounting Profession,"Prerequisite(s): ACC 2110 Corequisite(s): ACC 2120 Teaches topics related to the accounting profession, including career options in accounting, certifications in accounting (CPA, CMA, CIA, CFE, etc.), ethics in the profession, current issues in accounting, professional standards, and professionalism skills. Discusses the educational requirements for the accounting undergraduate and graduate degrees.",Professional,graduate,False,False,False,False,False,True
uvu,2026,2026-2027,ACC,2120,Principles of Accounting II,"Prerequisite(s): ACC 2110 Teaches technical accounting concepts from both financial and managerial accounting. Includes generally accepted accounting principles (GAAP) to support understanding of the accounting cycle and financial statements. Includes managerial accounting topics such as costing methods, budget preparation, and performance evaluation tools.",Professional,graduate,False,False,False,False,False,True
uvu,2026,2026-2027,ACC,2250,QuickBooks and Small Business Accounting,"Prerequisite(s): ACC 2110 or (concurrent enrollment courses: ACC 1110 and ACC 1120 ) Introduces students to the principles and practices of bookkeeping within the context of Client Accounting and Advisory Services (CAS). Focuses on foundational skills in recording and organizing financial data using QuickBooks Online. Emphasizes real-world applications, including technology-driven bookkeeping, workflow understanding, and delivering basic financial insights to support business decision-making. Course fee of $50 for testing services applies.",Professional,graduate,False,False,False,False,False,True
uvu,2026,2026-2027,ACC,2600,Business Law and Ethics,"Prerequisite(s): Recommended: ENGL 1010 Examines legal and ethical issues needed to make sound business decisions. Provides an overview of the legal system, constitutional law, ethical decision-making frameworks, business entities, contract law, business crimes and torts, compliance and regulatory issues, agency law, and bankruptcy law.",Professional,graduate,False,False,False,False,False,True
uvu,2026,2026-2027,ACC,3000,Financial Managerial and Cost Accounting Concepts,"Prerequisite(s): University Advanced Standing Provides students in computer science and the technologies with knowledge of financial, managerial, and cost accounting concepts and applications. Prepares students to utilize accounting information in making business decisions. Lab access fee of $13 for computers applies.",Professional,graduate,False,False,False,False,False,True
uvu,2026,2026-2027,ACC,3010,Intermediate Accounting I,"Prerequisite(s): ACC 2110 , ACC 2120 with a B- or higher, ( MATH 1050 , MATH 1055 , or MATH 1090 ) with a C- or higher, and University Advanced Standing Pre- or Corequisite(s): ACC 2115 Reviews and expands on fundamental accounting material learned in beginning classes. Covers an overview of the primary financial statements, revenue recognition, and the accounts on the asset portion of the balance sheet. Introduces the Conceptual Framework and current accounting standards to provide a theoretical foundation upon which practical applications are based. Lab access fee of $13 applies.",Professional,graduate,False,False,False,False,False,True
uvu,2026,2026-2027,ACC,3020,Intermediate Accounting II,"Prerequisite(s): ACC 3010 and University Advanced Standing Addresses debt and equity financing, investments in debt and equity securities, leases, deferred income taxes, employee compensation (payroll and pensions), earnings per share, accounting changes, and error corrections. Lab access fee of $13 for computers applies.",Professional,graduate,True,False,False,False,False,True
uvu,2026,2026-2027,ACC,3030,Intermediate Accounting for Non-Accounting Majors,"Prerequisite(s): ACC 2110 , ACC 2120 , and University Advanced Standing An intermediate accounting course for non-accounting majors with emphasis on interpretation and use of general-purpose financial statements and the related disclosure notes. Addresses understanding interrelationships among the various financial statements and analyzing the effects of transactions on the financial statements. Analyzes common and significant accounts/transactions, especially those relating to the liability and equity sections of the financial statements. Course lecture fee of $83 applies.",Professional,graduate,True,False,False,False,False,True
uvu,2026,2026-2027,ACC,3120G,International Internal Auditing,"Prerequisite(s): ACC 2110 and ACC 2120 and University Advanced Standing Introduces students to the international internal auditing standards through global auditing case studies. Emphasizes theories of governance, risk, control concepts, audit techniques, and reporting practices.",Professional,graduate,False,False,False,False,False,True
uvu,2026,2026-2027,ACC,3250,Advanced QuickBooks and Industry Accounting,"Prerequisite(s): ACC 2250 and University Advanced Standing Builds on concepts introduced in Bookkeeping Fundamentals, with a focus on advanced skills in QuickBooks Online and their application within Client Accounting and Advisory Services (CAS). Emphasizes accounting functions including payroll processing, complex transactions, and error resolution. Explores industry use cases across business types while introducing third-party app integrations that enhance workflow and support accurate, technology-driven client accounting solutions.",Professional,graduate,False,False,False,False,False,True
uvu,2026,2026-2027,ACC,3300,Cost Management,"Prerequisite(s): ACC 2110 , ACC 2120 and University Advanced Standing Provides a strategic approach to cost management and the development and use of relevant information for management decision making. Builds a foundation by discussing the various concepts of cost, cost behavior, and cost estimation techniques. Addresses costing of products and other cost objects using job order and process costing, activity-based costing, and cost allocation. Introduces management control topics of budgeting and performance evaluation through variance analysis. Concludes with current topics in cost management. Lab access fee of $13 for computers applies.",Professional,graduate,False,False,False,False,False,True
uvu,2026,2026-2027,ACC,3400,Fundamentals of Taxation,"Prerequisite(s): ACC 2110 , ACC 2120 , and University Advanced Standing Studies the federal taxation of individuals, corporations, and partnerships/LLCs. Covers the accounting theory and practices of federal income taxation based on a study of the laws, regulations, and income tax decisions. Lab access fee of $13 for computers applies.",Professional,graduate,False,False,False,False,False,True
uvu,2026,2026-2027,ACC,3510,Accounting Information Systems,"Prerequisite(s): ACC 2110 , ACC 2120 , and University Advanced Standing Teaches analysis design and implementation of accounting information systems. Emphasizes accounting cycles, internal controls, and computerized environments. Lab access fee of $13 applies.",Professional,graduate,False,False,False,False,False,True
uvu,2026,2026-2027,ACC,3710,Auditing,"Prerequisite(s): ACC 3010 and University Advanced Standing Pre- or Corequisite(s): ACC 3510 Provides an introduction to independent audits of financial statements in accordance with generally accepted auditing standards, the environment in which audits are performed, and professional ethics. Includes basic audit concepts and procedures related to planning, testing internal controls, investigating reported financial results of business process cycles, and required auditor communications. Lab access fee of $13 for computers applies.",Professional,graduate,False,False,False,False,False,True
uvu,2026,2026-2027,ACC,4030,Governmental and Not For Profit Accounting,"Prerequisite(s): ACC 3010 or ACC 3030 , University Advanced Standing Covers areas of governmental and not-for-profit accounting and reporting. Includes fund accounting, the budgetary process, governmental financial reporting, not-for-profit organizations, health care organizations, colleges and universities, and public sector auditing. Lab access fee of $13 for computers applies.",Professional,graduate,False,False,False,False,False,True
uvu,2026,2026-2027,ACC,4050,Financial Statement Analysis,"Prerequisite(s): ( ACC 3010 or ACC 3030 ) and University Advanced Standing Teaches financial statement analysis techniques and practices, such as financial metrics, footnote disclosures, and business profitability. Informs decision making based on practical analysis of financial statement information.",Professional,graduate,False,False,False,False,False,True
uvu,2026,2026-2027,ACC,4250,Advisory and Controllership Practices,"Prerequisite(s): ACC 3250 and University Advanced Standing Prepares students for advanced roles in Client Accounting and Advisory Services (CAS) by focusing on the practices and mindset of effective controllers and client advisors. Emphasizes strategic financial functions such as budgeting, forecasting, KPI analysis, and profitability evaluation. Covers the management of multiple client accounts, oversight of team workflows, and design of tailored accounting solutions. Builds applied skills in delivering actionable insights and guiding business decisions to clients.",Professional,graduate,False,False,False,False,False,True
uvu,2026,2026-2027,ACC,4310,Advanced Management Accounting,"Prerequisite(s): ACC 3300 , University Advanced Standing Studies and applies advanced topics in Cost Management such as value chain analysis, activity-based management, and other current topics and issues in management accounting. Teaches the principles of management control including strategic planning, budgeting, performance measurement. Includes active class discussion, case analysis, and student presentations.",Professional,graduate,False,False,False,False,False,True
uvu,2026,2026-2027,ACC,4510,Artificial Intelligence and Data Analytics in Accounting,"Prerequisite(s): University Advanced Standing Pre- or Corequisite(s): ACC 3510 Applies relational database knowledge to accounting datasets in an ERP environment. Uses technology to document, improve, and automate accounting processes. Lab access fee of $13 for computers applies.",Professional,graduate,False,False,False,False,False,True
uvu,2026,2026-2027,ACC,4700R,Current Topics in Accounting,Prerequisite(s): ACC 3010 and University Advanced Standing Provides opportunities for students to become exposed to emerging technology and topics of current interest and demand in Accounting. Includes various topics. May be repeated for a maximum of 3 credits toward graduation.,Professional,graduate,False,False,False,False,False,True
uvu,2026,2026-2027,ACC,4810R,Internship,"Prerequisite(s): ACC 3010 , departmental approval, and University Advanced Standing Provides accounting majors a transition from school to work where learned theory is applied to actual practice through meaningful on-the-job paid experience commensurate with upper-division classroom instruction. Includes student, employer, and coordinator evaluations, on-site work visits, written assignments, and oral presentations. May be repeated for a maximum of 6 credits toward graduation. May be graded credit/no credit.",Professional,graduate,False,False,False,False,False,True
uvu,2026,2026-2027,ACC,4910R,Independent Study,"Prerequisite(s): Department Chair approval and University Advanced Standing For bachelor's degree students and other interested persons. Offers independent study as directed in reading, individual projects, etc., at the discretion and approval of the department chairperson. Repeatable for a maximum of 3 credits toward graduation.",Professional,graduate,False,False,False,False,False,True
