university,academic_year,academic_year_label,department_code,course_number,title,description,broad_area,level,progressive_signal,western_canon_signal,climate_narrow_signal,climate_broad_signal,cross_listed,deduplicated
uwec,2026,2026-2027,ACCT,201,Introduction to Accounting,An introduction to accounting applied to business organizations. Emphasis is on the uses of accounting information in decision-making by internal and external users.,Professional,undergraduate,False,False,False,False,False,True
uwec,2026,2026-2027,ACCT,202,Principles of Accounting,Accounting 202 is a continuation of Accounting 201. Additional principles and practices of accountancy are introduced. Emphasis will continue to be placed on the uses of accounting information in decision-making by internal and external users.,Professional,undergraduate,False,False,False,False,False,True
uwec,2026,2026-2027,ACCT,214,Managerial Accounting,"Analysis and interpretation of accounting data approached from the managerial viewpoint, with emphasis on planning and control, and decision-making.",Professional,undergraduate,False,False,False,False,False,True
uwec,2026,2026-2027,ACCT,296,Topics in Accounting,Covers a variety of topics to be determined by faculty interest and student demand.,Professional,undergraduate,False,False,False,False,False,True
uwec,2026,2026-2027,ACCT,301,Intermediate Accounting I,"Development and implementation of the conceptual and practical aspects of valuation and income determination, time value of money, accounting changes, inventory valuation, and current and noncurrent assets. Special emphasis on GAAP as it relates to topics being covered.",Professional,undergraduate,False,False,False,False,False,True
uwec,2026,2026-2027,ACCT,302,Intermediate Accounting II,"Development and implementation of the conceptual and practical aspects of valuation and income determination, with emphasis on intangible assets, retained earnings and contributed capital, diluted earnings per share, pensions, leases, deferred taxes, current and long-term liabilities, statement of cash flows, financial statement analysis, interim and segment reporting. Special emphasis on GAAP as it relates to topics being covered.",Professional,undergraduate,False,False,False,False,False,True
uwec,2026,2026-2027,ACCT,313,Auditing,"Basic coverage of all steps in creating audit programs according to the audit risk model, and current issues in auditing. Specific coverage includes company risk evaluation, internal control, company analysis, and audit reporting.",Professional,undergraduate,False,False,False,False,False,True
uwec,2026,2026-2027,ACCT,314,Cost Accounting,"Principles of cost accounting, emphasizing analysis of materials, labor, and factory overhead; application of standard costing to job order and process cost systems; analysis of cost behavior in the manufacturing firm with exposure to cost-profit-volume relationships, break-even analysis, and direct costing.",Professional,undergraduate,False,False,False,False,False,True
uwec,2026,2026-2027,ACCT,321,Individual Federal Income Taxation,"Federal taxation on individuals including gross income, exclusions, deductions, exemptions, capital gains and property transactions. Tax return problems and tax research are included in this course.",Professional,undergraduate,False,False,False,False,False,True
uwec,2026,2026-2027,ACCT,396,Topics in Accounting,Covers a variety of topics to be determined by faculty interest and student demand.,Professional,undergraduate,False,False,False,False,False,True
uwec,2026,2026-2027,ACCT,401,Advanced Financial Accounting,"Accounting for multiunit business enterprises; consolidated balance sheets, income statements, and statement of cash flows; Security and Exchange Commission reporting; foreign currency transactions and translation; international operations; and liquidation of partnerships.",Professional,undergraduate,False,False,False,False,False,True
uwec,2026,2026-2027,ACCT,403,Financial Accounting Integration,This course covers a variety of complex topics in financial accounting and reporting and is designed for students who expect entering to accounting practices and/or preparing for a CPA exam.,Professional,undergraduate,False,False,False,False,False,True
uwec,2026,2026-2027,ACCT,417,Governmental and Nonprofit Organization Accounting,"An introduction to accounting principles for governmental, quasi-governmental, and nonprofit organizations. Includes budgetary and financial reporting requirements as well as the compliance requirements related to these entities. The course also introduces government and nonprofit audit requirements, and preparation of the nonprofit tax return.",Professional,undergraduate,False,False,False,False,False,True
uwec,2026,2026-2027,ACCT,420,Fraud Investigation and Prevention,"Coverage of fraud methods, fraud investigation, and fraud prevention through internal controls. Emphasis on financial and asset misappropriation frauds.",Professional,undergraduate,False,False,False,False,False,True
