university,academic_year,academic_year_label,department_code,course_number,title,description,broad_area,level,progressive_signal,western_canon_signal,climate_narrow_signal,climate_broad_signal,cross_listed,deduplicated
uwgb,2026,2026-2027,ACCTG,201,Principles of Financial Accounting,"Principles, concepts and terminology of financial accounting including coverage of the measurement and recording of business income and transactions, current and long-term assets, current and long-term liabilities, corporate equity, and financial statement analysis.  Ethical considerations and analysis of company statements are integrated into the course. P: 15 credit hours with sophomore standing recommended Fall and Spring.",Professional,undergraduate,True,False,False,False,False,True
uwgb,2026,2026-2027,ACCTG,202,Principles of Managerial Accounting,"The use and understanding of management accounting information for planning, control, performance evaluation, decision making; product costing using traditional and activity based costing techniques, just-in-time, cost-profit-volume relationships, budgeting, variance analysis, decentralization, relevant costing, and ethics. P: ACCTG 201 and sophomore standing. Fall and Spring.",Professional,undergraduate,False,False,False,False,False,True
uwgb,2026,2026-2027,ACCTG,297,Internship,"Supervised practical experience in an organization or activity appropriate to a student's career and educational interests. Internships are supervised by faculty members and require periodic student/faculty meetings. Course is repeatable for credit; may be taken 3 times for a total of 3 credits. This course has been identified as a Cofrin School of Business High Impact Practice (HIP) course. HIPs are rigorous courses that include engaging teaching methods such as regular feedback, peer and faculty interaction, structured reflection, and application of knowledge.",Professional,undergraduate,False,False,False,False,False,True
uwgb,2026,2026-2027,ACCTG,298,Independent Study,"Independent study is offered on an individual basis at the student's request and consists of a program of learning activities planned in consultation with a faculty member.  A student wishing to study or conduct research in an area not represented in available scheduled courses should develop a preliminary proposal and seek the sponsorship of a faculty member.  The student's advisor can direct him or her to instructors with appropriate interests.  A written report or equivalent is required for evaluation, and a short title describing the program must be sent early in the semester to the registrar for entry on the student's transcript.  Course is repeatable for credit. P: fr or so st with cum gpa > or = 2.50; or jr or sr st with cum gpa > or = 2.00. Fall and Spring.",Professional,undergraduate,False,False,False,False,False,True
uwgb,2026,2026-2027,ACCTG,299,Travel Course,Travel courses are conducted to various parts of the world and are led by one or more faculty members.  May be repeated to different locations. P: cons of instr & prior trip arr & financial deposit.,Professional,undergraduate,False,False,False,False,False,True
uwgb,2026,2026-2027,ACCTG,301,Intermediate Accounting I,"The course is the first of three intermediate accounting courses. Focus is on financial accounting theory, concepts, principles and procedures relating to the measurement and reporting of cash, receivables, inventories, and property, plant, and equipment and intangibles. Review and deep understanding of the full accounting cycle including journal entries, adjusting and closing entries, trial balance, and preparation and understanding of the balance sheet, income statement, statement of comprehensive income, and statement of cash flows. P: ACCTG 201 with at least a ""BC"" grade and an overall minimum GPA of 2.5 Fall and Spring.",Professional,undergraduate,False,False,False,False,False,True
uwgb,2026,2026-2027,ACCTG,303,Seminar in Accounting Professionalism,"Seminar in Accounting Professionalism is designed to familiarize prospective accounting majors with their profession.  Topics will include various career paths in accounting, professional demeanor, and professional ethics. P: ACCTG 201 and Bus Adm major or minor or Acctg major or minor and an overall minimum GPA of 2.5 Fall Only.",Professional,undergraduate,False,False,False,False,False,True
uwgb,2026,2026-2027,ACCTG,310,Introduction to Individual Income Tax Preparation,"This course introduces students to the fundamentals of preparing individual income tax returns for both U.S. federal and Wisconsin state taxes. The course emphasizes hands-on experience using free IRS-sponsored software and helps students build a foundational understanding of federal and Wisconsin state income taxation, including how to research tax questions using official resources. Students will complete the IRS VITA certification exams and have the option to volunteer with the VITA program during the spring semester.",Professional,undergraduate,False,False,False,False,False,True
uwgb,2026,2026-2027,ACCTG,313,Intermediate Accounting II,"The course is the second of three intermediate accounting courses. Emphasis is on developing financial statements that clearly and accurately depict a company's performance. Focus is directed on revenue recognition, investments, current liabilities, bonds, and leases. P: ACCTG 301 with at least a BC grade and an overall minimum GPA of 2.5 Fall Only.",Professional,undergraduate,False,False,False,False,False,True
uwgb,2026,2026-2027,ACCTG,314,Advanced Accounting,Accounting for long-term investments; business combinations; preparation of consolidated financial statements; inter-company profit issues; inter-company debt issues; earnings-per-share calculations; accounting for foreign operations and partnerships. P: ACCTG 301 with at least a BC grade and an overall minimum GPA of 2.5; REC: ACCTG 313 . Spring.,Professional,undergraduate,False,False,False,False,False,True
uwgb,2026,2026-2027,ACCTG,316,Governmental and Nonprofit Accounting,"Recommended for students planning to take the CPA exam. Financial and managerial accounting concepts, theory and terminology related to state and local governmental entities and not for profit organizations including universities, health care organizations, voluntary health and welfare organizations and other not for profit entities. Analysis of actual municipal financial statements. Case studies, group work and/or class presentations emphasize application of theory to actual situations including ethical considerations. This course has been identified as a Cofrin School of Business High Impact Practice (HIP) course. HIPs are rigorous courses that include engaging teaching methods such as regular feedback, peer and faculty interaction, structured reflection, and application of knowledge. P: ACCTG 301 with at least a C grade and an overall minimum GPA of 2.5 Fall Only.",Professional,undergraduate,False,False,False,False,False,True
uwgb,2026,2026-2027,ACCTG,323,Intermediate Accounting III,"The course is the third of three intermediate accounting courses. Emphasis is on developing financial statements that clearly and accurately depict a company's performance. Focus is directed on accounting for income taxes, pensions and other postretirement benefits, share-based compensation and EPS, accounting changes and error corrections, and an in-depth review of the statement of cash flows. P: ACCTG 301 with at least a BC grade and an overall minimum GPA of 2.5. REC: ACCTG 313 Spring.",Professional,undergraduate,False,False,False,False,False,True
uwgb,2026,2026-2027,ACCTG,410,Introduction to Income Tax Theory and Practice,"Federal income taxation, especially tax rules and the determination of taxable income for individuals.  Topics include: exclusions, deductions, passive activity losses, property transactions, nontaxable exchanges, capital gains and losses. P: ACCTG 201 with at least a C grade and an overall minimum GPA of 2.5 Fall Only.",Professional,undergraduate,False,False,False,False,False,True
