university,academic_year,academic_year_label,department_code,course_number,title,description,broad_area,level,progressive_signal,western_canon_signal,climate_narrow_signal,climate_broad_signal,cross_listed,deduplicated
uwm,2026,2026-2027,ACTSCI,290,Introduction to Actuarial Science,"Overview of the actuarial profession, financial risks, and types of insurance products; risk components; and risk evaluation methods.",STEM,undergraduate,False,False,False,False,False,True
uwm,2026,2026-2027,ACTSCI,391,Investment Mathematics I,"Examination of annuities, loans, bonds, portfolio immunization, and interest rate swaps. Foundational preparation for the Financial Mathematics (FM) Professional Actuarial Exam.",STEM,undergraduate,False,False,False,False,False,True
uwm,2026,2026-2027,ACTSCI,490,Introduction to Actuarial Practice,"Professional topics such as healthcare, pensions, life insurance, property and casualty, reinsurance, and regulation.",STEM,undergraduate,False,False,False,False,False,True
uwm,2026,2026-2027,ACTSCI,491,Actuarial Workshop FM,Continuation of topics from ACTSCI 391 along with practice and preparation for the Financial Mathematics (FM) Professional Actuarial Exam.,STEM,undergraduate,False,False,False,False,False,True
uwm,2026,2026-2027,ACTSCI,492,Actuarial Workshop P,Continuation of probability topics from MTHSTAT 361 along with practice and preparation for the Probability (P) Professional Actuarial Exam.,STEM,undergraduate,False,False,False,False,False,True
uwm,2026,2026-2027,ACTSCI,590,Actuarial Internship,"Apply principles and techniques of actuarial science in business, governmental and other appropriate settings.",STEM,graduate,False,False,False,False,False,True
uwm,2026,2026-2027,ACTSCI,591,Investment Mathematics II,"Mathematical models in finance and economics, corporate finance.",STEM,graduate,False,False,False,False,False,True
uwm,2026,2026-2027,ACTSCI,593,Actuarial Models I,"Long term insurance coverage, single life survival models, life insurance, annuities, benefit and premium random variables, mortality models.",STEM,graduate,False,False,False,False,False,True
uwm,2026,2026-2027,ACTSCI,594,Actuarial Models II,"Long term insurance coverage, single life survival models, life insurance, annuities, benefit and premium random variables, mortality models.",STEM,graduate,False,False,False,False,False,True
uwm,2026,2026-2027,ACTSCI,596,Actuarial Statistics I,Loss models for short term insurance and their statistical fitting.,STEM,graduate,False,False,False,False,False,True
uwm,2026,2026-2027,ACTSCI,597,Actuarial Statistics II,"Credibility theory, ratemaking, and reserving.",STEM,graduate,False,False,False,False,False,True
uwm,2026,2026-2027,ACTSCI,599,Capstone Experience,Independent research on current financial and insurance topics that are not covered in regular actuarial courses.,STEM,graduate,False,False,False,False,False,True
uwm,2026,2026-2027,ACTSCI,790,Actuarial Internship,"Apply principles and techniques of actuarial science in business, governmental and other appropriate settings.",STEM,graduate,False,False,False,False,False,True
uwm,2026,2026-2027,ACTSCI,791,Investment Mathematics II,"Mathematical models in finance and economics, corporate finance.",STEM,graduate,False,False,False,False,False,True
uwm,2026,2026-2027,ACTSCI,793,Actuarial Models I,"Long term insurance coverage, single life survival models, life insurance, annuities, benefit and premium random variables, mortality models.",STEM,graduate,False,False,False,False,False,True
uwm,2026,2026-2027,ACTSCI,794,Actuarial Models II,"Long term insurance coverage, single life survival models, life insurance, annuities, benefit and premium random variables, mortality models.",STEM,graduate,False,False,False,False,False,True
uwm,2026,2026-2027,ACTSCI,796,Actuarial Statistics I,Loss models for short term insurance and their statistical fitting.,STEM,graduate,False,False,False,False,False,True
uwm,2026,2026-2027,ACTSCI,797,Actuarial Statistics II,"Credibility theory, ratemaking and reserving.",STEM,graduate,False,False,False,False,False,True
uwm,2026,2026-2027,ACTSCI,891,Actuarial Risk Theory,Risk models; premium principles; reinsurance contracts; ruin theory; ordering of risks; bonus-malus systems; IBNR techniques.,STEM,graduate,False,False,False,False,False,True
uwm,2026,2026-2027,ACTSCI,895,Topics in Actuarial Science:,Advanced topics in actuarial science.,STEM,graduate,False,False,False,False,False,True
uwm,2026,2026-2027,AFRIC,100,Black Reality: Survey of African-American Society,"An introduction to key concepts, structures, and institutions in African-American societies.",Humanities,undergraduate,False,False,False,False,False,True
uwm,2026,2026-2027,AFRIC,102,Survey of African-American Literature,A survey of a variety of African-American literature.,Humanities,undergraduate,False,False,False,False,False,True
uwm,2026,2026-2027,AFRIC,111,Introduction to African-American History to 1865,African and African-American history to the Reconstruction period.,Humanities,undergraduate,False,False,False,False,False,True
uwm,2026,2026-2027,AFRIC,112,"Introduction to African-American History, 1865 to the Present",African-American history from the Reconstruction era to the present.,Humanities,undergraduate,False,False,False,False,False,True
uwm,2026,2026-2027,AFRIC,121,Introduction to African-American Politics,"Introduction to African-American politics, with special emphasis on the relation between race, ethnicity, religion, class, and power in American society.",Humanities,undergraduate,True,False,False,False,False,True
uwm,2026,2026-2027,AFRIC,125,Economics of the Black Community,"A survey of key economic principles, and elements that structure economic behavior in the black community.",Humanities,undergraduate,False,False,False,False,False,True
uwm,2026,2026-2027,AFRIC,163,Black Racial and Cultural Identity,"Survey of the cultural, social and psychological origins of the contemporary view African Americans have of themselves.",Humanities,undergraduate,True,False,False,False,False,True
uwm,2026,2026-2027,AFRIC,192,First-Year Seminar:,Specific topics are announced in the Schedule of Classes each time the class is offered.,Humanities,undergraduate,False,False,False,False,False,True
uwm,2026,2026-2027,AFRIC,193,First-Year Seminar:,Specific topics are announced in the Schedule of Classes each time the class is offered.,Humanities,undergraduate,False,False,False,False,False,True
uwm,2026,2026-2027,AFRIC,199,Independent Study,"For further information, consult the department chair.",Humanities,undergraduate,False,False,False,False,False,True
uwm,2026,2026-2027,AFRIC,205,"The Poetry of African, African-American, and Caribbean Writers","A survey of ideas, themes, values, beliefs, and attitudes in the poetry of African, African-American and Caribbean writers.",Humanities,undergraduate,False,False,False,False,False,True
uwm,2026,2026-2027,AFRIC,210,The African-American Novel,"A study of the social and cultural significance of the African-American novel, with emphasis on genre, imagery, and dramatic irony.",Humanities,undergraduate,False,False,False,False,False,True
uwm,2026,2026-2027,AFRIC,215,Introduction to Black Social and Cultural Traditions,A consideration of the social and cultural traditions that ground the life experiences and prospects of black people.,Humanities,undergraduate,False,False,False,False,False,True
uwm,2026,2026-2027,AFRIC,220,Introduction to Statistics in African and African Diaspora Studies,"The use of statistical methods and techniques in techniques in African and African Diaspora Studies. Data from the Afroworld (North and South America, Africa, and the Caribbean) will be analyzed.",Humanities,undergraduate,True,False,False,False,False,True
uwm,2026,2026-2027,AFRIC,228,Introduction to Black Political Economy,A survey of the interplay of the basic political and economic categories that structure the form and content of black life in America.,Humanities,undergraduate,False,False,False,False,False,True
uwm,2026,2026-2027,AFRIC,232,Survey of African Societies and Cultures,A survey of continuities and changes in the social and cultural lives of the peoples of Black Africa.,Humanities,undergraduate,False,False,False,False,False,True
uwm,2026,2026-2027,AFRIC,235,African Americans and South Africa,"The study of ideological, economic, religious, cultural, educational and political ties between African Americans and black South Africans from the 19th century to the present.",Humanities,undergraduate,False,False,False,False,False,True
uwm,2026,2026-2027,AFRIC,250,Black Women and White Women in the Contemporary United States,"The effect of economics, education, social structures and history on the role of black women in US society.",Humanities,undergraduate,False,False,False,False,False,True
uwm,2026,2026-2027,AFRIC,261,Survey of African-American Political Philosophy,"A survey of key ideas, concepts, arguments, problems, and issues in African-American political philosophy.",Humanities,undergraduate,False,False,False,False,False,True
uwm,2026,2026-2027,AFRIC,265,Psychological Effects of Racism,Psychological and socio-psychological effects of individualized and institutionalized racism on blacks and whites. Emphasis is placed on a range of interactions between blacks and whites.,Humanities,undergraduate,True,False,False,False,False,True
uwm,2026,2026-2027,AFRIC,289,"Internship in African & African Diaspora Studies, Lower Division","Application of basic principles of African & African Diaspora Studies in business, organizational, educational, political, or other appropriate setting.",Humanities,undergraduate,True,False,False,False,False,True
uwm,2026,2026-2027,AFRIC,297,Study Abroad:,"Designed to enroll students in UWM sponsored program before course work level, content, and credits are determined and/or in specially prepared program course work.",Humanities,undergraduate,False,False,False,False,False,True
uwm,2026,2026-2027,AFRIC,299,Ad Hoc:,"Course created expressly for offering in a specified enrollment period. Requires only dept & assoc dean approval. In exceptional circumstances, can be offered in one add'l sem.",Humanities,undergraduate,False,False,False,False,False,True
uwm,2026,2026-2027,AFRIC,300,Urban Violence,"Analysis of the nature, causes, and consequences of urban violence; the possibilities and limits of violence in promoting the good of blacks will be scrutinized.",Humanities,undergraduate,False,False,False,False,False,True
uwm,2026,2026-2027,AFRIC,300G,Urban Violence,"Analysis of the nature, causes, and consequences of urban violence; the possibilities and limits of violence in promoting the good of blacks will be scrutinized.",Humanities,undergraduate,False,False,False,False,False,True
uwm,2026,2026-2027,AFRIC,301,Research Methods in African & African Diaspora Studies,"A survey of research methods and techniques, and the uses of the computer in data gathering and analysis in  African & African Diaspora Studies.",Humanities,undergraduate,True,False,False,False,False,True
uwm,2026,2026-2027,AFRIC,311,African Religious Thought and Social Organizations,A critical analysis of foundations from which complex social structures and institutions evolved in the diverse societies of the Afroworld.,Humanities,undergraduate,True,False,False,False,False,True
uwm,2026,2026-2027,AFRIC,311G,African Religious Thought and Social Organizations,A critical analysis of foundations from which complex social structures and institutions evolved in the diverse societies of the Afroworld.,Humanities,undergraduate,True,False,False,False,False,True
uwm,2026,2026-2027,AFRIC,312,The Church in African-American Life,A study of the socio-cultural significance of the church in the evolution of the black community.,Humanities,undergraduate,False,False,False,False,False,True
uwm,2026,2026-2027,AFRIC,314,The School in African-American Life,A study of the socio-cultural significance of the school in the evolution of the black community.,Humanities,undergraduate,False,False,False,False,False,True
uwm,2026,2026-2027,AFRIC,319,African American Urban History,"Examination of the social and cultural transformation of Black urban communities, including social relations, political expression, economic organization, and cultural production, through the effects of government policies, economic trends, and institutional racism.",Humanities,undergraduate,True,False,False,False,False,True
