university,academic_year,academic_year_label,department_code,course_number,title,description,broad_area,level,progressive_signal,western_canon_signal,climate_narrow_signal,climate_broad_signal,cross_listed,deduplicated
vanguard,2026,2026-2027,ACCT,P225,Principles of Financial Accounting,"This course develops students' understanding and application of financial accounting concepts, the accounting cycle processes and documents, and United States accounting and external financial reporting standards. The course emphasizes understanding the financial statements: balance sheet, income statement, statement of retained earnings, and statement of cash flows. The course prepares students for financial analysis; ethical decision making, understanding fraud in the workplace and internal control.",Professional,undergraduate,False,False,False,False,False,True
vanguard,2026,2026-2027,ACCT,P226,Principles of Managerial Accounting,"This course is an introduction to managerial decision-making based on common accounting and financial models and analysis. The course topics include management's responsibility to stakeholders, how costs behave, cost-volume-profit analysis, activity-based costing, budgeting, standard costing, performance measurements, and financial analysis.",Professional,undergraduate,False,False,False,False,False,True
vanguard,2026,2026-2027,ACCT,225,Principles of Financial Accounting,"This course develops students' understanding and application of financial accounting concepts, accounting cycle processes and documents, and United States accounting and external financial reporting standards. The course emphasizes understanding financial statements: balance sheet, income statement, statement of retained earnings, and statement of cash flows. The course prepares students for financial analysis, ethical decision making, understanding fraud in the workplace and internal control.",Professional,undergraduate,False,False,False,False,False,True
vanguard,2026,2026-2027,ACCT,226,Principles of Managerial Accounting,"This course is an introduction to managerial decision-making based on common accounting, financial models and analysis. The course topics include management's responsibility to stakeholders, how costs behave, cost-volume-profit analysis, activity-based costing, budgeting, standard costing, performance measurements, and financial analysis.",Professional,undergraduate,False,False,False,False,False,True
vanguard,2026,2026-2027,ACCT,320,Accounting Information Systems,"This course introduces students to organization and implementation of information technology and the study of computer-based systems for the collection, organization, and presentation of accounting information.",Professional,undergraduate,False,False,False,False,False,True
vanguard,2026,2026-2027,ACCT,321,Accounting and Finance for Decision Making,"This course is on teach out. Please take ACCT-226 .  This course examines managerial decision-making based on common accounting and financial models and analysis.   The course topics include management's responsibility to stakeholders, how costs behave, cost-volume-profit analysis, activity based costing, budgeting, standard costing, performance measurements, and financial analysis.  The course continues to develop students' understanding of annual reports and financial statement analysis within the entity's industry.",Professional,undergraduate,False,False,False,False,False,True
vanguard,2026,2026-2027,ACCT,324,Intermediate Accounting I,"Studies accounting and reporting of complex business operating activities and financing activities according to generally accepted accounting principles in the United States. Compares United States accounting standards to international accounting standards. Topics include revenue recognition, inventory valuation, and debt and equity financing.",Professional,undergraduate,True,False,False,False,False,True
vanguard,2026,2026-2027,ACCT,325,Intermediate Accounting II,"Continues to study accounting and reporting of complex business activities and transactions. The focus is on the investing activities of business and financial reporting. Topics include investments, leases, earnings per share, and analysis of financial statements. The content includes the study of accounting and reporting standards in the United States with comparisons to international accounting standards.",Professional,undergraduate,False,False,False,False,False,True
vanguard,2026,2026-2027,ACCT,332,Cost Accounting,Pre-requisite: ACCT 226.  Accounting information for management; cost records; cost behavior and allocation; product costing and inventory valuation; flexible budgeting; standard costs; responsibility accounting; cost planning and control; and analytical procedures,Professional,undergraduate,False,False,False,False,False,True
vanguard,2026,2026-2027,ACCT,427,Auditing,"Studies how to conduct external audits or become internal financial managers of organizations that are audited. United States auditing standards are studied and compared to international standards. Course topics include generally accepted auditing standards, fraudulent financial reporting and audit failure, effective internal control procedures, and the influence of the Securities and Exchange Commission on oversight of the accounting profession.",Professional,undergraduate,False,False,False,False,False,True
