university,academic_year,academic_year_label,department_code,course_number,title,description,broad_area,level,progressive_signal,western_canon_signal,climate_narrow_signal,climate_broad_signal,cross_listed,deduplicated
vsu,2026,2026-2027,ACCT,200,Introd Finc & Managerial Acct,"A nontechnical introduction to the principles of financial and managerial accounting with emphasis on the use and interpretation of financial reports, managerial planning and control. The course is for the individual who seeks a basic knowledge of accounting and its uses. It is designed for the user of accounting information rather than the preparer. This course cannot be substituted for COBU 201 or 202 for business majors. Prerequisite: None.",Professional,undergraduate,False,False,False,False,False,True
vsu,2026,2026-2027,ACCT,201,Introductory Accounting I,"This course is a study of fundamental principles of financial accounting as applied to the contemporary business environment. Problems of measuring and reporting income, assets, liabilities, and equity as shown on financial statements are discussed. Prerequisite: COBU 101 and MATH 120 or equivalent.",Professional,undergraduate,True,False,False,False,False,True
vsu,2026,2026-2027,ACCT,202,Introductory Accounting II,This course is a study of introductory management accounting principles as applied to the competitive business environment. Emphasis is on using data from an organization’s management information system to formulate and implement business strategy. Prerequisite: ACCT 201 or COBU 201 .,Professional,undergraduate,False,False,False,False,False,True
vsu,2026,2026-2027,ACCT,301,Intermediate Accounting I,The course provides an in-depth study of generally accepted accounting principles as they relate to business entities. Emphasis is on data analytics and visualization tools for financial statement analysis and presentation. Prerequisite: COBU 201 and COBU 202 .,Professional,undergraduate,False,False,False,False,False,True
vsu,2026,2026-2027,ACCT,302,Intermediate Accounting II,Continuation of ACCT 301 . This course provides an in-dept study of generally accepted accounting principles as they relate to special topics of business entities. Emphasis is on data analytics and visualization tools for financial statement analysis and presentation. Prerequisite: ACCT 301 .,Professional,undergraduate,False,False,False,False,False,True
vsu,2026,2026-2027,ACCT,306,Cost Accounting,"This course studies cost accumulation of inventory, income determination, and special topics using cost accounting systems. The focus is on using data analytics and visualization tools to measure and present cost analysis. Prerequisite: COBU 201 and COBU 202 .",Professional,undergraduate,False,False,False,False,False,True
vsu,2026,2026-2027,ACCT,307,Federal Income Tax I,This course studies how federal income tax principles apply to and affect individual taxpayers and corporations. Prerequisite: COBU 201 and COBU 202 .,Professional,undergraduate,False,False,False,False,False,True
vsu,2026,2026-2027,ACCT,308,Federal Income Tax II,"This course studies advanced topics in how federal income tax principles apply to and affect individuals, corporation, and other business entities. Prerequisite: COBU 201 and COBU 202 .",Professional,undergraduate,False,False,False,False,False,True
vsu,2026,2026-2027,ACCT,315,Accounting Information Sys,"This course focuses on understanding, designing, and controlling accounting information systems. Emphasis is on equipping students with the latest data analytics systems for analyzing and reporting of financial data. Prerequisite: COBU 201 and COBU 202 .",Professional,undergraduate,False,False,False,False,False,True
vsu,2026,2026-2027,ACCT,375,Internship in Accounting,The internship course allows students to obtain practical work experience in accounting positions under supervised conditions. The internship provides real-world application of accounting education under the critical supervision of an on-site administrator and an accounting faculty member. Prerequisites: ACCT 302 .,Professional,undergraduate,False,False,False,False,False,True
vsu,2026,2026-2027,ACCT,403,Advanced Accounting,"The financial accounting issues related to consolidations, partnerships, foreign currency translations, hedging and segment reporting are examined. Prerequisite: ACCT 302 .",Professional,undergraduate,False,False,False,False,False,True
vsu,2026,2026-2027,ACCT,406,Advanced Cost Accounting,"This course covers selected topics in management accounting, such as responsibility accounting, transfer pricing, JIT manufacturing, activity-based costing, and relevant costs for special decisions. Ethical and international aspects of management accounting are also discussed. Prerequisite: ACCT 306 .",Professional,undergraduate,False,False,False,False,False,True
vsu,2026,2026-2027,ACCT,407,Auditing,"The analysis and application of the theory and techniques of auditing principles and procedures, with emphasis on the duties and responsibilities of the auditor. Prerequisite: ACCT 302 .",Professional,undergraduate,False,False,False,False,False,True
vsu,2026,2026-2027,ACCT,408,Accounting Data Analytics,"This course examines how business financial and non-financial data connect with and to business financial performance. The focus of this course will be to use data analytics and software packages to assess, gain insights, and predict trends in financial performance. In the application of data science, students who are successful in this course will understand and model how that data interact using computer databases, programming, statistics and visual analytics to enable a business enterprise to forecast performance, optimize operations and develop business strategy. Prerequisite: ACCT 315 .",Professional,undergraduate,False,False,False,False,False,True
vsu,2026,2026-2027,ACCT,410,Forensic Accounting,"Fraud and abuse are costly, pervasive problems in business, nonprofit and government organizations. This course introduces a specialty field in accounting, the practice of which utilizes accounting, audition and investigative skills to provide support in legal matters. Prerequisites: ACCT 302 .",Professional,undergraduate,False,False,False,False,False,True
vsu,2026,2026-2027,ACCT,411,Seminar Acct Theory & Prac,"This course is designed to investigate contemporary accounting theories and applications in the various areas of accounting to include financial, managerial, cost and auditing. Students will be exposed to pronouncements issued by the American Institute of Certified Public Accountants, the Security Exchange Commission, the Public Company Accounting Oversight Board, the International Accounting Standards Board, and the Financial Accounting Standards Board. Prerequisite: ACCT 302 .",Professional,undergraduate,False,False,False,False,False,True
