university,academic_year,academic_year_label,department_code,course_number,title,description,broad_area,level,progressive_signal,western_canon_signal,climate_narrow_signal,climate_broad_signal,cross_listed,deduplicated
wilson,2026,2025-2026,ACC,105,Financial Accounting,"This course emphasizes the provision of relevant and reliable information used in making financial and business decisions. Areas of emphasis include the basic concepts and principles of financial accounting; the accounting cycle from the analysis of business transactions and their systematic recording through the preparation of the basic financial statements - balance sheet, income statement and statement of cash flows; the basic theory and practice for recognition, measurement and classification of assets, liabilities, equity,revenues and expenses; and the interpretation of accounting data, income and cash flow analysis. Alternative forms of business organization, internal control and interrelationships of accounting data and the ethical implications of accounting are also covered. Co-requisites: MAT 097 or Mathematics Placement Exam results.",Professional,undergraduate,True,False,False,False,False,True
wilson,2026,2025-2026,ACC,322,Taxes II,"A study of tax compliance for corporations, partnerships and fiduciaries, as well as for not-for-profit organizations, including tax accounting for formation, reorganization, distribution and liquidation of organizations. The study of transfer taxes and the preparation of the related federal tax forms are included. Students are required to identify and resolve tax issues through the utilization of various sources, including applicable tax law and regulations, administrative and judicial opinions, interpretative texts and published procedures. In addition to tax research, the practical compliance aspects of tax return preparation are covered. While the focus is on federal taxes, state tax implications are also studied, including multi-state tax situations. Prerequisites: ACC 106 , ACC 321 .",Professional,undergraduate,False,False,False,False,False,True
wilson,2026,2025-2026,ACC,355,Internship,"Work experience with significant academic content, having an appropriate, complementary role within the student's academic program. Approval of the academic dean is required.",Professional,undergraduate,False,False,False,False,False,True
wilson,2026,2025-2026,ACC,205,Intermediate Accounting I,"A rigorous study of current accounting theory and practice, this course builds on the fundamental concepts covered in the introductory financial and managerial accounting courses, and develops a more professional level of accounting knowledge and analysis. Coverage includes the conceptual framework of financial accounting, the development of accounting standards, the accounting process, financial statements and the time value of money. Included in this study is an analysis and review of cash and receivables, inventories and cost of goods sold, fixed assets and depreciation, intangibles and amortization, and revenue recognition. The review of each group of accounts includes conceptual considerations, technical accounting procedures, and the necessary and appropriate disclosures within the body of the financial statements and the related accounting schedules and notes. Prerequisite: ACC 106 .",Professional,undergraduate,False,False,False,False,False,True
wilson,2026,2025-2026,ACC,206,Intermediate Accounting II,"This course is a continuation of Intermediate  Accounting I. Includes an analysis and review of  investments, current and long-term liabilities,  contingencies and equity. The review of each  category includes conceptual considerations,  technical accounting procedures and the necessary  and appropriate disclosures within the body of  the financial statements and the related  accounting schedules and notes. Topics include  dilutive securities and basic and fully diluted  earnings per share, accounting for leases, income  taxes, executive compensation, retirement and  postretirement benefit plans and accounting  changes. The course concludes with a  comprehensive review of financial statement  analysis and interpretation and full disclosure  in financial reporting. Prerequisite: ACC 205 .",Professional,undergraduate,True,False,False,False,False,True
wilson,2026,2025-2026,ACC,499,Senior Thesis/Project,"In conjunction with a faculty advisor, the student will design and implement a major research project. Prerequisite: ACC 206 and senior standing with permission of advisor.",Professional,undergraduate,False,False,False,False,False,True
wilson,2026,2025-2026,ACC,307,Cost Accounting,"Cost accounting furnishes management with the necessary accounting tools for planning and controlling activities and for making many business decisions. Specifically, the collection, presentation and analysis of cost data helps management as it deals with the areas of cost-volume-profit analysis, job-order and process cost systems, standard, differential, and activity based cost systems, variance analysis, and static and flexible budgeting. By focusing on basic concepts, analyses, uses and procedures instead of procedures alone, the course shows cost accounting as a tool for business strategy and implementation. The role of the accountant as both decision-maker and data provider is considered. Prerequisite: ACC 106 .",Professional,undergraduate,False,False,False,False,False,True
wilson,2026,2025-2026,ANS,202,Animal Studies: Canines,"An exploration of canines within the framework of evolution, normal and abnormal behavior,  domestication, and comparative training  techniques.  Emphasis will be placed on the  animal-human bond and cooperative service.  Additional topics include:  ethical treatment in  service and current issues and topics.  Prerequisites: ANS-101 and BIO-101 or BIO-110 .",STEM,undergraduate,False,False,False,False,False,True
wilson,2026,2025-2026,ANS,101,Introduction to Animal Studies,"Through discussion, survey and observation,  students will, within the culture of animal-human interactions, develop their ability to think   critically and ethically; review related   international, national and state laws and the  associated regulatory agencies; develop impartial   observation skills; and define employment-related  skill sets. ETH",STEM,undergraduate,False,False,False,False,False,True
wilson,2026,2025-2026,ANS,203,Animal Studies: Felines & Exotics,"An exploration of felines and exotic animals within the framework of evolution, normal and abnormal behavior, domestication, laboratory use, and comparative training techniques.  Emphasis will be placed on the animal-human bond and cooperative service.  Additional topics include:  ethical treatment and current issues and topics.  Prerequisites: ANS-101 and BIO-101 or BIO-110 .",STEM,undergraduate,False,False,False,False,False,True
