university,academic_year,academic_year_label,department_code,course_number,title,description,broad_area,level,progressive_signal,western_canon_signal,climate_narrow_signal,climate_broad_signal,cross_listed,deduplicated
wku,2026,2026-2027,ACMS,175,Academy Seminar Experience,"Restricted to Gatton Academy students.  Taken during the first three semesters for Gatton Academy students.  Addresses study skills, leadership, social and emotional intelligence, and critical thinking skills.  May be repeated up to three hours credit.",Other,lower,no,no,no,no,no,no
wku,2026,2026-2027,ACCT,110,Accounting for Decision Makers,"This is an introductory course covering both financial and managerial accounting concepts, practices, and tools for decision making. Emphasis on financial accounting topics include effects of transactions on accounts, preparation of financial statements, and accounting for merchandising business while utilizing a no debit-credit framework. Managerial accounting topics covered include relevant costs, cost behavior and breakeven,
product costing, and budgeting. Introduction of financial statement analysis will enhance the student's ability to utilize the accounting function in a decision making environment.",Professional,lower,no,no,no,no,no,no
wku,2026,2026-2027,ACCT,220,Principles of Financial Accounting,"This course expands on the introduction to financial accounting provided in ACCT 110 . Focus is on the methods and procedures used to gather and report financial information about a business organization to external users. Emphasis is placed on the recording function, preparing the financial statements, examining the statements' components, and interpreting the information reported.",Professional,lower,no,no,no,no,no,no
wku,2026,2026-2027,ACCT,300,Intermediate Financial Accounting I,"A review of the financial accounting concepts, relationships, and procedures involved with preparing and interpreting financial statements. Includes an in-depth coverage of the valuation, measurement, and financial reporting issues associated with assets and liabilities.",Professional,lower,no,no,no,no,no,no
wku,2026,2026-2027,ACCT,301,Intermediate Financial Accounting II,"A continuation of Intermediate Financial Accounting I with emphasis placed on certain specialized accounting subjects. Topics typically covered include, but are not limited to, long-term tangible and intangible assets, current and long-term liabilities, stockholders' equity, potentially dilutive securities and EPS.",Professional,lower,yes,no,no,no,no,no
wku,2026,2026-2027,ACCT,303,Intermediate Financial Accounting III,"A continuation of Intermediate Financial Accounting II with emphasis placed on specialized accounting subjects.  Topics typically covered include, but are not limited to, investments, revenue recognition, pensions, leases, accounting changes and error analysis, the statement of cash flows, and accounting for income taxes.",Professional,lower,no,no,no,no,no,no
wku,2026,2026-2027,ACCT,310,Managerial Cost Accounting,"An in-depth study of cost accounting practices, including job order, process, normal, activity-based, and standard costing. Also examines accounting tools such as budgeting, cost-volume-profit analysis, relevant costing, and responsibility accounting that provide organizational managers with information for planning, decision-making, and control.",Professional,lower,no,no,no,no,no,no
wku,2026,2026-2027,ACCT,311,Managerial Cost Accounting II,"A continuation of ACCT 310 , this course emphasizes cost accounting practices, including product costing, budgeting, standard costing, and variance analysis. Addresses accounting tools, such as responsibility accounting, that provide organizational managers with information for planning, decision-making, and control.",Professional,lower,no,no,no,no,no,no
wku,2026,2026-2027,ACCT,312,Accounting Information Systems,"A study of accounting information systems, traditional and contemporary, with hands-on experience with a manual accounting system and a computerized accounting system. Emphasis is on the transformation of data to information and the internal controls necessary in each environment.",STEM,lower,no,no,no,no,no,no
wku,2026,2026-2027,ACCT,390,Internship in Accounting,"Relevant and meaningful full time accounting-related work experience outside the classroom in a supervised setting with a cooperating business or not-for-profit organization. Note: Requires a minimum of six hours of upper-level accounting courses at WKU, a 2.75 GPA overall, a 2.5 GPA in upper-level accounting courses, and permission of the Chair of Accounting.",Professional,lower,no,no,no,no,no,no
wku,2026,2026-2027,ACCT,399,Career Readiness in Accounting,"Introduction to preparation for a career in Accounting, including exposure to careers in accounting; certifications in the profession; development of professional writing skills, professional resumes and cover letters; oral communications; interviewing skills; goalsetting; ethical standards; and professional networking. This course is limited to juniors and seniors in the Accounting program.",Social Sciences,lower,no,no,no,no,no,no
