university,academic_year,academic_year_label,department_code,course_number,title,description,broad_area,level,progressive_signal,western_canon_signal,climate_narrow_signal,climate_broad_signal,cross_listed,deduplicated
worcester,2026,2026-2027,AB,101,Beginning Arabic I,Introduction to the Arabic language and cultures of the Arabic-speaking world.,Humanities,undergraduate,False,False,False,False,False,True
worcester,2026,2026-2027,AB,102,Beginning Arabic II,"A continuation of AB 101, designed for students to acquire additional vocabulary, grammar, and reading ability.",Humanities,undergraduate,False,False,False,False,False,True
worcester,2026,2026-2027,AB,210,Intermediate Arabic I,"Instruction in advanced rules of Arabic grammar and verb system, and in advanced writing and reading.",Humanities,undergraduate,False,False,False,False,False,True
worcester,2026,2026-2027,AB,211,Intermediate Arabic II,"Reading and discussion of texts dealing with literature, arts, geography, history, and culture of Arabic-speaking world.",Humanities,undergraduate,False,False,False,False,False,True
worcester,2026,2026-2027,AR,100,Cross Media Studio,"An introduction to selected two- and three-dimensional media through the exploration of a semester-long theme such as the human figure, or  forms in nature.",Humanities,undergraduate,False,False,False,False,False,True
worcester,2026,2026-2027,AR,105,Introduction to Animation,This hands-on introductory course covers the fundamentals and aesthetics of computer animation using the Adobe AfterEffects motion graphics  program.,Humanities,undergraduate,False,False,False,False,False,True
worcester,2026,2026-2027,AR,118,Global Art History,Surveys the outstanding visual art from all cultures beginning in the prehistoric era to the late 19th century.,Humanities,undergraduate,False,False,False,False,False,True
worcester,2026,2026-2027,AR,119,First Year Art Practicum,"This course offers students an opportunity to work closely with faculty to work in the art gallery, develop technical skills, studio projects, and do research to support their creative development. This course is required for the Art Major. It will be geared to the individual needs of each student.",Humanities,undergraduate,False,False,False,False,False,True
worcester,2026,2026-2027,AR,123,Design Fundamentals,"Design Fundamentals is a course combining 2 and 3 Dimensional Design. In this course we explore composition, space, and color along with planes,  volumes, and environments. A variety of materials are used to create on surfaces and in actual space. Many projects are grounded in aspects of mathematical and geometrical systems, e.g., grids, tiling, Fibbonaci series, fractals, regular solids.",Humanities,undergraduate,False,False,False,False,False,True
worcester,2026,2026-2027,AR,130,Painting I,"An introduction to the fundamentals of historical  painting styles, techniques, and materials used, with emphasis on visual perception and expression",Humanities,undergraduate,False,False,False,False,False,True
worcester,2026,2026-2027,AR,140,Drawing Fundamentals,"The development of visual perception, technical skills, and individual expression in drawing media. Students will explore concepts in drawing to develop their artwork through observation, experimentation, awareness of historical and contemporary contexts, and critical assessment.  Projects utilize a variety of drawing materials to demonstrate technical facility and to enhance           self-expression.",Humanities,undergraduate,False,False,False,False,False,True
worcester,2026,2026-2027,AR,150,Life Studio I,Focus on the human figure through different modes of drawing and painting.  Attention to structure and anatomy and their expressive aspects.,Humanities,undergraduate,False,False,False,False,False,True
worcester,2026,2026-2027,AR,165,Creating Cultural Forms,A studio course. Concepts of art forms created by a variety of world cultures and art movements of the past and present.,Humanities,undergraduate,False,False,False,False,False,True
worcester,2026,2026-2027,AR,191,Special Topics in Art,Introductory course to cover various topics.,Humanities,undergraduate,False,False,False,False,False,True
worcester,2026,2026-2027,AR,193,First Year Seminar in Art,Introductory level course covering topics of special interest to first year students. Offered only as a First Year Seminar.,Humanities,undergraduate,False,False,False,False,False,True
worcester,2026,2026-2027,AR,210,Drawing and Painting Studio,"This course is a comprehensive introduction to the art of drawing and painting. Students will be strongly encouraged to explore  the skills and concepts of these art forms in order to develop their ideas through observation, experimentation, historical context, and analysis. Projects are designed to expand awareness and to expose students to contemporary concerns.",Humanities,undergraduate,False,False,False,False,False,True
worcester,2026,2026-2027,AR,215,Art Theory and Practice,"This course chooses a topic or a theme to explore in the classroom and studio for a semester. Students will read about this topic or theme and they will produce work in the studio inspired by their reading. Topics may include (but are not limited to): the figure in art, landscape art, abstract art, science and art, social sciences and art, religion and art, east meets west, arte povera, Dada art etc.",Humanities,undergraduate,False,False,False,False,False,True
worcester,2026,2026-2027,AR,219,Second Year Art Practicum,"This course offers students an opportunity to work closely with faculty to work in the art gallery, develop technical skills, studio projects, and do research to support their creative development. This course is required for the Art Major. It will be geared to the individual needs of each student.",Humanities,undergraduate,False,False,False,False,False,True
worcester,2026,2026-2027,AR,221,The Work of Art,"This is the first in a set of three core courses for the Art major. This course focuses on practical and professional art skills including but not limited to the creation of professional documents like resumes, artist statements and proposals, professional internet presence such as websites and social media accounts, art critique work and gallery related content such as exhibition submissions and gallery representation.",Humanities,undergraduate,False,False,False,False,False,True
worcester,2026,2026-2027,AR,225,Art Since Mid-20th Century,"Explores how artists have challenged the traditional definitions of the art object and the expanded materials, media and concepts employed  by artists since 1950 to the present era.",Humanities,undergraduate,False,False,False,False,False,True
worcester,2026,2026-2027,AR,230,Printmaking,Introduction to the techniques and aesthetics of etching and relief. Prints by major artists are examined.,Humanities,undergraduate,False,False,False,False,False,True
worcester,2026,2026-2027,AR,235,3D Sculpture Studio,"This is an introductory course focusing on form creation grounded in sculptural forms and techniques. Students will create sculpture by exploring traditional techniques such as molding, carving, casting and assemblage using historical and contemporary materials from clay and stone to cardboard and found objects. Historical context, skill development, critical analysis and proper tool usage and safety are emphasized.",Humanities,undergraduate,False,False,False,False,False,True
worcester,2026,2026-2027,AR,240,Watercolor,A studio course exploring various techniques and expressive forms used by watercolorists of the past and present.,Humanities,undergraduate,False,False,False,False,False,True
worcester,2026,2026-2027,AR,260,Visual Arts in the Schools,"An exploration of art materials and concepts, and their appropriate use with children. Includes studio projects, art history, and educational theory.",Humanities,undergraduate,False,False,False,False,False,True
worcester,2026,2026-2027,AR,270,Driftwood to Dumpsters,Students will learn about the history and practice of making art from non-traditional materials. This is a lecture and hands-on art  course.,Humanities,undergraduate,False,False,False,False,False,True
worcester,2026,2026-2027,AR,285,History of Photography,"The history of photography from 1839 to present, with attention to styles, aesthetics, technical processes, and leading practitioners. [Cross-listed with CM-285 ]",Humanities,undergraduate,False,False,False,False,False,True
worcester,2026,2026-2027,AR,305,Life Studio II,Continued drawing and painting focusing on the human figure with emphasis on interpretive and individual development. [AR 304],Humanities,undergraduate,False,False,False,False,False,True
worcester,2026,2026-2027,AR,308,Thesis Seminar,"This course focuses on the research that prepares students for their Capstone. They will evaluate the work of other artists working in their media, make critical judgments about the work they experience in contemporary exhibitions, and present their ideas orally in class presentations. Students will also develop their studio art portfolio and capstone proposal.",Humanities,undergraduate,False,False,False,False,False,True
worcester,2026,2026-2027,AR,312,Methods and Materials in Studio Art,"Materials and Methods in Studio Art offers in-depth artistic exploration through combining studio methods, mixing materials and techniques and developing an artistic style. This course encourages students to experiment with art making in both two and three-dimensions allowing then to cultivate their aesthetic concepts through innovative projects.",Humanities,undergraduate,False,False,False,False,False,True
worcester,2026,2026-2027,AR,313,Illustration,"This course is designed to introduce students to the processes involved in illustration. This may include, but is not limited to editorial illustration, children's books, book/album covers, concert posters, comics/manga, character design, botanical illustration, medical illustration and basic lettering. This course will cover basic illustration techniques in drawing and painting.",Humanities,undergraduate,False,False,False,False,False,True
worcester,2026,2026-2027,AR,319,Third Year Art Practicum,"This course consolidates student studio skills, research expertise, and best practices for creative work. Students will initiate the development of a body of work that will lead to Capstone.",Humanities,undergraduate,False,False,False,False,False,True
worcester,2026,2026-2027,AR,330,Intermediate Printmaking,Continuation of relief printmaking in an individual direction using tone/color and multiple blocks.,Humanities,undergraduate,False,False,False,False,False,True
worcester,2026,2026-2027,AR,350,Special Topics in Art,A course covering topics which vary in response to specific student and faculty interest.,Humanities,undergraduate,False,False,False,False,False,True
worcester,2026,2026-2027,AR,400,Ind Study: Art,An opportunity for further study in a special field of interest under faculty supervision.,Humanities,undergraduate,False,False,False,False,False,True
worcester,2026,2026-2027,AR,402,Internship in Art,"An individual experience through internship with a sponsoring community organization, professional  institution or individual, i.e., museums,  galleries, artists.",Humanities,undergraduate,False,False,False,False,False,True
worcester,2026,2026-2027,AR,408,Directed Study: Art,"Directed study offers students, who because of unusual circumstances may be unable to register for a course when offered, the opportunity to  complete an existing course with an established syllabus under the direction and with agreement from a faculty member.",Humanities,undergraduate,False,False,False,False,False,True
worcester,2026,2026-2027,AR,455,Thesis Capstone,"Pre-requisite: Completion of all other major requirements. Students design, and create their work for public presentation. This is the final course in the Art Major and is a requirement for all the majors.",Humanities,undergraduate,False,False,False,False,False,True
worcester,2026,2026-2027,BI,101,Concepts of Biology,Unifying principles in biology; diversity and evolution of plant and animal life at cellular and organismic levels. Three lecture hours and a two-hour laboratory per week. Not open to Biology Majors.,STEM,undergraduate,True,False,False,False,False,True
worcester,2026,2026-2027,BI,103,The Human Animal,"A general survey of the structure and function of human body systems from the biochemical and cellular basis of life to evolution of the human body and the organization of organs and organ systems, including the biological basis of selected disease states. Not open to Biology Majors.",STEM,undergraduate,False,False,False,False,False,True
worcester,2026,2026-2027,BI,104,The Human Animal Laboratory,"This course is the lab to accompany The Human Animal, a general survey of the structure and function of human body systems from the biochemical and cellular basis of life to evolution of the human body and the organization of organs and organ systems, including the biological basis of selected disease states.",STEM,undergraduate,False,False,False,False,False,True
worcester,2026,2026-2027,BI,109,Writing in the Natural Sciences,"Builds upon the writing skills gained in EN-101 to introduce students to the various genres of writing in the natural sciences. Students will develop literature research skills, learn how to craft and explain an experimental proposal, and practice written, graphical, and oral presentation of data and scientific concepts to academic and lay audiences.",STEM,undergraduate,False,False,False,False,False,True
worcester,2026,2026-2027,BI,111,Social Biology,"This course considers the interface between current biological technologies and the social, cultural, legal, and moral postures of modern man.",STEM,undergraduate,False,False,False,False,False,True
worcester,2026,2026-2027,BI,112,Diseases and Mankind,"Diseases of ancient and modern man; the impact on   history, religion, science, art and philosophy.",STEM,undergraduate,False,False,False,False,False,True
worcester,2026,2026-2027,BI,114,Plants and Human Affairs,"Man's dependence upon plants and their influence on civilization and its art, religions, literature, folklore, medicine, and human   behavior.",STEM,undergraduate,False,False,False,False,False,True
worcester,2026,2026-2027,BI,116,Animal Biology,"Survey of animal kingdom with emphasis on animal diversity, morphology, life histories, ecological evolutionary relation- ships.  No credit for Biology major.  Three lecture hours and two laboratory hours per week. Not open to Biology majors.",STEM,undergraduate,True,False,False,True,False,True
worcester,2026,2026-2027,BI,117,Humans and the Environment,A survey of Anthropologic environmental impacts and the underlying mechanisms involved. Three lecture hours and three laboratory hours per week. Not open to Biology or Environmental Science majors.,STEM,undergraduate,False,False,False,False,False,True
worcester,2026,2026-2027,BI,118,Dinosaurs,"A survey of dinosaurs; their evolution, anatomy, diversity and impact on evolutionary biology. discussions of the changing views of dinosaurs in the media and public consciousness. Three hours lecture and two hors lab.",STEM,undergraduate,True,False,False,False,False,True
worcester,2026,2026-2027,BI,125,Women in Science,Examines issues related to gender in science and technology. Includes historical and recent contributions to science made by women.,STEM,undergraduate,True,False,False,False,False,True
worcester,2026,2026-2027,BI,130,Field Biology,"Study-Abroad Field Biology course for non-Biology majors. Course explores the intersection of human activities and environmental preservation, with a basic introduction to topics in organismal biology, biodiversity and biogeography.",STEM,undergraduate,True,False,False,True,False,True
worcester,2026,2026-2027,BI,140,Introduction to Organismal Biology,"Evolution, ecology, anatomy, physiology and diversity of organisms. Three hours lecture and three hours lab each week. Intended for STEM Majors.",STEM,undergraduate,True,False,False,False,False,True
worcester,2026,2026-2027,BI,141,Intro to Cellular and Molecular Biology,"Cellular and molecular concepts in biology. Emphasis on the structures and functions of macromolecules and organelles. Introduction to cellular transport, signaling, metabolism, cell division, and gene expression. Three lecture hours and three laboratory hours per week. Intended for STEM Majors/Minors.",STEM,undergraduate,False,False,False,False,False,True
worcester,2026,2026-2027,BI,161,Human Anatomy and Physiology I,"Considers human cellular biology, tissues, integumentary, nervous, endocrine, skeletal, muscular systems. Three hours of lecture and a three-hour laboratory per week.",STEM,undergraduate,False,False,False,False,False,True
worcester,2026,2026-2027,BI,162,Human Anatomy and Physiology II,"Considers digestive, respiratory, cardiovascular, urinary, immune and lymphatic systems; water and electrolyte balance, reproduction and embryology.  Three lecture hours and three laboratory hours per week.",STEM,undergraduate,False,False,False,False,False,True
