university,academic_year,academic_year_label,department_code,course_number,title,description,broad_area,level,progressive_signal,western_canon_signal,climate_narrow_signal,climate_broad_signal,cross_listed,deduplicated
ysu,2026,2026-2027,ACCT,1503,Essentials of Accounting,"Terminology, concepts and principles of basic financial and managerial accounting from a user perspective. Internal controls, cash controls, and payroll accounting are covered. Does not fulfill WCBA requirements and cannot substitute for ACCT 2602 .",Professional,graduate,False,False,False,False,False,True
ysu,2026,2026-2027,ACCT,2602,Financial Accounting,Study of the accounting cycle and generally accepted accounting principles including preparation of financial statements. Prereq.: MATH 1510 or MATH 1510C or MATH 2623 or MATH 2623C or MATH 1552 or MATH 1570 or MATH 1571 .,Professional,graduate,False,False,False,False,False,True
ysu,2026,2026-2027,ACCT,2602H,Honors Financial Accounting,Study of the accounting cycle and generally accepted accounting principles including preparation of financial statements. Prereq.: MATH 1510 OR MATH 1510C OR MATH 2623 OR MATH 2623C OR MATH 1552 OR MATH 1570 OR MATH 1571 .,Professional,graduate,False,False,False,False,False,True
ysu,2026,2026-2027,ACCT,2603,Managerial Accounting,"Study of the accounting informational needs of management. Emphasis on techniques of planning and control. Prereq.: ""C"" or better in ACCT 2602 OR ACCT 2602H .",Professional,graduate,False,False,False,False,False,True
ysu,2026,2026-2027,ACCT,3701,Intermediate Accounting 1,"In depth study of the accounting cycle, the preparation of financial statements including the cash flow statement, and current assets. Emphasis on relating practice to the FASB conceptual framework. Prereq.: ""C"" or better in ACCT 2602 or ACCT 2602H and 2.5 overall GPA.",Professional,graduate,False,False,False,False,False,True
ysu,2026,2026-2027,ACCT,3702,Intermediate Accounting 2,"This course involves the disclosure of financial information with an emphasis on asset acquisition and valuation, accounting changes and estimates, and related expenses. Additional topics include stockholders’ equity, leases, EPS, post-retirement benefits, revenue recognition, cash flows and other current accounting topics. Prereq.: ACCT 3701 (C or better) AND 2.5 GPA.",Professional,graduate,True,False,False,False,False,True
ysu,2026,2026-2027,ACCT,3709,Accounting Information Systems,"Study of systems analysis, design, and implementation within the context of an accounting information system. Topics include a treatment of the business computing environment, security and control of information, the accounting information system as a component of the management information system, and decision support and expert systems. Prereq.: ""C"" or better in ACCT 2602 or ACCT 2602H and 2.5 overall GPA.",Professional,graduate,False,False,False,False,False,True
ysu,2026,2026-2027,ACCT,3710,Analysis and Design of Accounting Databases,"An introduction to the analysis of accounting databases. Specific emphasis is placed on the structure and use of accounting databases, particularly XBRL. Prereq.: ACCT 3709 (C or better), 2.5 GPA.",Professional,graduate,False,False,False,False,False,True
ysu,2026,2026-2027,ACCT,3711,Cost Accounting,"Study of cost accumulation for products manufactured under job order or continuous manufacturing processes; cost behavior and profit-volume relationships; cost structures for control and motivation; relevant costs for non-routine decision making. Prereq.: ACCT 2603 (C or better), 2.5 GPA.",Professional,graduate,False,False,False,False,False,True
ysu,2026,2026-2027,ACCT,3714,Business Regulation,"In-depth analysis of commercial law areas covered on the CPA exam, with emphasis on sales, secured transactions, real and personal property, insurance, bankruptcy, and commercial paper. Prereq.: C or better in ACCT 2602 and 2.5 GPA.",Professional,graduate,False,False,False,False,False,True
ysu,2026,2026-2027,ACCT,3721,State and Local Taxes,"Theory applicable to state and local taxation. Primary emphasis on taxation principles in current use by state and local government units located throughout the United States. Case law is studied, some representative tax returns prepared. Prereq.: ACCT 2603 (C or better), 2.5 GPA.",Professional,graduate,False,False,False,False,False,True
ysu,2026,2026-2027,ACCT,3734,Data Analytics for Accounting,"Course emphasis is on knowledge and skills to collect, manage, and analyze extremely large volumes of data in various formats from numerous sources in accounting domain. Focus will be given to the following: dataset structure, data quires, database and enterprise system architecture, database security, database knowledge through data mining, data quality, data visualization, advanced data modeling, accounting data sampling and distribution, and fraud examination through data analytics. The course includes a number of hands-on exercises, Tableau/Alteryx. Prereq.: BUS 3700 (C or better), 2.5 GPA.",Professional,graduate,False,False,False,False,False,True
ysu,2026,2026-2027,ACCT,3750,Forensic Accounting and Fraud Examination,"This course involves the study of forensic accounting with an emphasis on fraud prevention, deterrence and detection techniques. Topics include identifying occupational fraud, abuse, and the misappropriation of assets and revenue.  Also introduced is the role of the COSO internal control framework, risk assessments, corporate governance and the internal audit profession. Prereq.: ACCT 2602 (C or better) or ACCT 2602H (C or better); 2.5 GPA.",Professional,graduate,False,False,False,False,False,True
ysu,2026,2026-2027,ACCT,4801,Advanced Accounting,"Financial accounting and reporting related to complex and highly sophisticated business transactions. Topics include the equity method, business combinations, variable interest entities, segment and interim reporting, worldwide diversity of accounting standards, foreign currency transactions and translation, SEC reporting, legal reorganizations and liquidations, partnership accounting, and estates and trusts. Prereq.: ACCT 3702 (C or better), FIN 3720 (C or better), 2.5 GPA.",Professional,graduate,True,False,False,False,False,True
ysu,2026,2026-2027,ACCT,4808,Auditing,"A study of the theory and practice of auditing. Topics include auditor responsibilities, internal control over financial reporting, professional standards, and the audit opinion formulation process.  Students analyze actual business fraud cases. Prereq.: ACCT 3709 (C or better), 2.5 GPA.",Professional,graduate,False,False,False,False,False,True
ysu,2026,2026-2027,ACCT,4809,Security and Privacy in Electronic Commerce,"This course focuses on the technology and communication infrastructure supporting electronic commerce and its impact on auditing. Encryption, public key infrastructure, digital signatures, payment schemes, and web commerce are discussed. Prereq.: ACCT 4808 (C or better), 2.5 GPA.",Professional,graduate,False,False,False,False,False,True
ysu,2026,2026-2027,ACCT,4813,Federal Taxation 1,"This course teaches students fundamental and current tax law associated with personal, investment, property and sole-proprietorship transactions with particular emphasis on individual tax return preparation and planning.  Concepts are supported through the preparation of actual tax returns and discussion of how transactions can be restructured to minimize current or future tax liability. Prereq.: ACCT 2603 (C or better) AND 2.5 GPA.",Professional,graduate,False,False,False,False,False,True
